2006 NHK Trophy,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
3 SpSq4  3.40,0.00 0 0 0 1,0 0 0 0,,1,1 - -,3.40
4 FCCoSp4  3.50,-0.18 0 0 0 -1,-1 0 -1 -1,,-1,0 - -,3.32
5 PCoSp3  4.00,0.00 1 0 -1 0,0 0 0 0,,0,0 - -,4.00
6 4Li4  4.00,0.24 1 0 0 1,1 1 1 1,,2,0 - -,4.24
7 3LoTh  5.00,-2.00 -3 -3 -3 -3,-3 -3 -2 -3,,-3,-3 - -,3.00
8 BoDs1  3.00,-0.28 0 0 -1 -1,-1 0 0 0,,1,0 - -,2.72
31.40,,,,,,30.38
Program Components,Factor,,,,,
Skating Skills,0.80 6.75 6.75 6.50 6.25,6.75 7.00 7.25 6.50,,6.75,6.75 - -,6.65
Transition / Linking Footwork,0.80 6.50 6.50 5.25 5.50,6.25 7.00 6.75 6.25,,6.75,6.25 - -,6.20
Performance / Execution,0.80 7.25 6.50 6.25 6.50,6.50 6.75 7.25 6.25,,7.00,6.50 - -,6.60
Choreography / Composition,0.80 7.25 6.75 6.00 6.50,6.25 7.25 7.00 6.50,,7.00,7.00 - -,6.60
Interpretation,0.80 7.25 6.75 6.00 7.00,6.50 7.25 7.00 6.50,,7.00,7.00 - -,6.75
Judges Total Program Component Score (factored),,,,,,26.24
Deductions:,Falls: -1.00,,,,,-1.00
2006 NHK Trophy,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
4 Utako WAKAMATSU / Jean-Sebastien FECTEAU,CAN,53.40  30.92,,,22.48,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 2LzTw4  4.50  0.20,0 0 1 1,0 0 0 1,,2,0 - -,4.70
2 3T  4.00 -0.20,0 0 -1 0,0 0 -1 0,,0,0 - -,3.80
3 PCoSp3  4.00  0.10,1 0 0 1,0 0 -1 0,,0,-1 - -,4.10
4 3LoTh  5.00 -0.70,-1 -1 -1 -1,-1 -1 -1 -1,,-2,-1 - -,4.30
5 SpSq4  3.40  0.00,0 0 0 0,0 0 0 0,,0,0 - -,3.40
6 FCCoSp4  3.50 -0.06,0 0 -1 -1,0 0 0 0,,-1,-1 - -,3.44
7 4Li3  3.50  0.18,0 0 1 1,1 0 0 1,,0,0 - -,3.68
8 BoDs2  3.50  0.00,0 0 0 0,0 -1 0 1,,0,-2 - -,3.50
31.40,,,,,,30.92
Program Components Factor,,,,,,
Skating Skills  0.80,5.75 6.00 5.25 5.75,6.00 5.50 5.25 6.00,,5.75,6.00 - -,5.75
Transition / Linking Footwork  0.80,5.50 5.75 4.50 4.75,5.50 5.25 4.75 5.75,,5.50,5.75 - -,5.25
Performance / Execution  0.80,5.50 6.00 5.50 5.75,6.25 5.50 5.00 5.75,,5.50,6.25 - -,5.70
Choreography / Composition  0.80,5.75 6.00 5.00 6.00,6.00 5.50 5.00 6.00,,5.50,5.00 - -,5.75
Interpretation  0.80,5.50 5.75 5.00 6.25,6.25 5.50 5.00 5.75,,5.75,5.50 - -,5.65
Judges Total Program Component Score (factored),,,,,,22.48
Deductions:,,,,,,0.00
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
5 Julia OBERTAS / Sergei SLAVNOV,RUS,48.62  25.50,,,25.12,2.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3T  4.00 -3.00,-3 -3 -3 -3,-3 -3 -3 -3,,-3,-3 - -,1.00
2 3LoTh  5.00 -2.00,-3 -3 -3 -3,-3 -3 -3 -3,,-3,-3 - -,3.00
3 4Li4  4.00  0.12,1 1 0 0,0 1 0 1,,0,1 - -,4.12
4 2LzTw2  3.50  0.20,0 0 1 1,1 0 0 0,,1,0 - -,3.70
5 SpSq2  2.30  0.00,0 0 0 0,0 0 0 1,,0,0 - -,2.30
6 FCCoSp4  3.50  0.00,0 0 0 0,0 0 0 -1,,0,0 - -,3.50
7 PCoSp3  4.00 -0.12,1 0 -1 -1,-1 0 0 0,,-1,1 - -,3.88
8 BoDs3  4.00  0.00,0 0 0 0,0 0 0 0,,0,0 - -,4.00
30.30,,,,,,25.50
Program Components Factor,,,,,,
Skating Skills  0.80,6.25 6.50 5.50 6.25,7.00 6.75 6.50 6.75,,6.25,6.50 - -,6.45
Transition / Linking Footwork  0.80,5.75 6.50 4.50 6.00,6.50 6.50 6.25 6.25,,6.00,5.50 - -,6.15
Performance / Execution  0.80,6.00 6.50 5.75 5.75,7.00 6.25 6.25 6.50,,6.00,5.75 - -,6.20
Choreography / Composition  0.80,6.25 6.50 5.25 6.00,6.75 6.50 6.50 6.50,,6.00,6.00 - -,6.35
Interpretation  0.80,6.25 6.25 5.00 6.25,6.75 6.25 6.25 6.25,,5.75,6.00 - -,6.25
Judges Total Program Component Score (factored),,,,,,25.12
Deductions: Falls:,-2.00,,,,,-2.00
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
6 Julia VLASSOV / Drew MEEKINS,USA,45.96  25.80,,,20.16,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 BoDs2  3.50  0.56,1 0 2 1,1 0 0 1,,1,1 - -,4.06
2 1A  0.80 -0.50,-3 -3 -2 -3,-3 -3 -3 -3,,-3,-3 - -,0.30
3 4Li3  3.50  0.00,0 0 0 0,0 0 0 0,,0,0 - -,3.50
4 3LoTh  5.00  0.00,0 0 0 0,0 0 1 0,,0,1 - -,5.00
5 FCCoSp4  3.50 -0.12,-1 -1 0 -1,0 0 0 0,,-1,-1 - -,3.38
6 2FTw2  3.50 -0.30,-1 -1 -1 -1,-1 0 0 -1,,0,0 - -,3.20
7 SpSq3  3.10  0.00,0 0 0 0,0 0 0 0,,0,0 - -,3.10
8 PCoSp2  3.50 -0.24,0 0 -1 -1,-1 -1 -1 -1,,0,-2 - -,3.26
26.40,,,,,,25.80
Program Components Factor,,,,,,
Skating Skills  0.80,5.50 5.00 5.25 4.75,5.75 5.50 5.50 4.50,,5.25,5.50 - -,5.20
Transition / Linking Footwork  0.80,4.75 4.75 4.75 5.00,5.50 5.00 5.25 4.00,,4.50,5.25 - -,4.90
Performance / Execution  0.80,5.00 4.75 5.25 5.25,5.50 5.25 5.25 4.25,,5.00,5.50 - -,5.10
Choreography / Composition  0.80,5.25 4.75 4.75 4.75,6.00 5.25 5.00 4.25,,4.75,5.25 - -,4.90
Interpretation  0.80,5.25 4.75 5.25 4.75,5.75 5.25 5.50 4.25,,5.25,5.00 - -,5.10
Judges Total Program Component Score (factored),,,,,,20.16
Deductions:,,,,,,0.00
2006 NHK Trophy,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
"",,Total Total,,Total,Total
"",NOC,Segment Element,,Program  Component,Deductions
Rank Name,,,,,
"",Code,Score Score,,Score (factored),
"",,= +,,+,-
7 Stacey KEMP / David KING,GBR,40.38  23.74,,16.64,0.00
"# Executed Base GOE",,The Judges Panel,,,Scores
Elements Value,,(in random order),,,of Panel
1 2LzTw3  4.00 -0.18,0 -1 -2 -1,-1 -1 0 0,,-1 0 - -,3.82
2 2Lo  1.50 -0.18,-1 0 -1 -1,0 0 -1 0,,0 -1 - -,1.32
3 3LoTh  5.00 -1.52,-2 -2 -3 -3,-2 -2 -1 -2,,-3 -2 - -,3.48
4 BoDs1  3.00 -0.28,-1 0 -1 -1,0 -1 0 0,,-1 -1 - -,2.72
5 SpSq3  3.10 -0.28,0 0 -1 -1,-1 0 0 0,,0 0 - -,2.82
6 FCCoSp2  2.50  0.00,0 0 0 0,0 0 0 -1,,-1 -1 - -,2.50
7 4Li4  4.00 -0.30,-1 -1 -1 -1,-1 -2 -1 -2,,-2 -2 - -,3.70
8 PCoSp2  3.50 -0.12,0 0 -1 -1,-1 0 0 0,,0 0 - -,3.38
26.60,,,,,23.74
Program Components Factor,,,,,
Skating Skills  0.80,4.50 4.00 4.00 4.50,4.25 3.75 5.00 4.25,,4.00 4.75 - -,4.30
Transition / Linking Footwork  0.80,3.75 3.75 3.50 4.00,4.00 3.50 4.50 4.00,,3.75 4.00 - -,3.90
Performance / Execution  0.80,4.25 3.75 4.25 4.25,4.25 3.75 5.00 4.00,,3.75 4.75 - -,4.20
Choreography / Composition  0.80,4.00 3.75 4.25 4.75,4.00 3.75 5.00 4.25,,4.00 4.50 - -,4.25
Interpretation  0.80,4.25 3.75 3.75 4.50,4.25 3.50 5.00 4.00,,4.00 4.25 - -,4.15
Judges Total Program Component Score (factored),,,,,16.64
Deductions:,,,,,0.00
"",,Total Total,,Total,Total
"",NOC,Segment Element,,Program  Component,Deductions
Rank Name,,,,,
"",Code,Score Score,,Score (factored),
"",,= +,,+,-
8 Mari VARTMANN / Florian JUST,GER,37.32  20.88,,17.44,1.00
"# Executed Base GOE",,The Judges Panel,,,Scores
Elements Value,,(in random order),,,of Panel
1 2LzTw1  3.00 -0.12,0 0 -1 -1,0 -1 0 -1,,-1 -1 - -,2.88
2 2T  1.30 -0.36,0 0 -2 -2,-2 -1 0 -2,,-3 0 - -,0.94
3 3STh  4.50 -2.00,-3 -3 -3 -3,-3 -3 -3 -3,,-3 -3 - -,2.50
4 4Li3  3.50 -0.18,-1 0 -1 -1,-1 0 0 0,,-1 -1 - -,3.32
5 FCCoSp4  3.50 -0.24,-1 -1 0 -1,-1 -1 -1 0,,-1 -2 - -,3.26
6 SpSq2  2.30 -0.12,0 0 -1 -1,-1 0 0 0,,-1 0 - -,2.18
7 BoDs1  3.00 -0.70,-2 0 -2 -2,-1 0 0 0,,-1 0 - -,2.30
8 PCoSp2  3.50  0.00,0 0 0 0,0 0 0 -1,,0 0 - -,3.50
24.60,,,,,20.88
Program Components Factor,,,,,
Skating Skills  0.80,4.25 4.75 4.50 4.50,5.00 4.25 5.50 4.00,,4.50 5.00 - -,4.60
Transition / Linking Footwork  0.80,4.00 4.50 4.00 4.00,4.50 4.00 5.25 3.75,,4.00 4.50 - -,4.20
Performance / Execution  0.80,4.00 4.75 4.50 4.00,4.50 4.00 5.50 4.00,,4.00 5.25 - -,4.35
Choreography / Composition  0.80,4.25 4.75 4.00 4.50,4.75 4.25 5.50 4.00,,4.25 4.50 - -,4.45
Interpretation  0.80,4.00 4.50 4.00 4.00,4.50 4.00 5.50 4.00,,4.00 4.75 - -,4.20
Judges Total Program Component Score (factored),,,,,17.44
Deductions: Falls:,-1.00,,,,-1.00
"",,Total Total,,Total,Total
"",NOC,Segment Element,,Program  Component,Deductions
Rank Name,,,,,
"",Code,Score Score,,Score (factored),
"",,= +,,+,-
9 Rumiana SPASSOVA / Stanimir TODOROV,BUL,35.46  20.14,,17.32,2.00
"# Executed Base GOE",,The Judges Panel,,,Scores
Elements Value,,(in random order),,,of Panel
1 2LzTw1  3.00 -0.12,0 0 -1 -1,0 0 0 -2,,0 -1 - -,2.88
2 3STh  4.50 -2.00,-3 -3 -3 -3,-3 -3 -2 -3,,-3 -3 - -,2.50
3 2F  1.70 -0.12,-1 0 -1 -1,0 0 0 0,,-1 -1 - -,1.58
4 BoDs1  3.00 -0.14,0 0 -1 -1,0 0 0 0,,0 0 - -,2.86
5 CCoSp1  2.00  0.00,0 0 0 0,0 0 0 0,,0 0 - -,2.00
6 4Li3  3.50 -0.48,-2 -1 -2 -2,-2 -1 0 -1,,-1 -1 - -,3.02
7 SpSq1  1.80  0.00,0 0 0 0,0 0 0 0,,-1 0 - -,1.80
8 PCoSp2  3.50  0.00,0 0 0 0,0 0 0 0,,-2 0 - -,3.50
23.00,,,,,20.14
Program Components Factor,,,,,
Skating Skills  0.80,4.50 4.50 4.50 4.50,4.50 4.50 5.00 4.00,,4.50 4.75 - -,4.50
Transition / Linking Footwork  0.80,4.00 4.25 3.75 3.75,4.50 4.50 4.50 3.75,,4.00 4.00 - -,4.05
Performance / Execution  0.80,4.25 4.50 4.50 4.50,4.75 4.50 5.00 4.00,,4.25 4.50 - -,4.50
Choreography / Composition  0.80,4.50 4.50 3.75 4.25,4.50 4.75 5.25 4.00,,4.25 4.25 - -,4.35
Interpretation  0.80,4.25 4.25 4.00 4.25,4.50 4.75 5.00 4.00,,4.00 4.00 - -,4.25
Judges Total Program Component Score (factored),,,,,17.32
Deductions: Time violation:,-1.00,Falls: -1.00,,,-2.00
Printed: 30/11/2006 20:46:55,,,,,
