Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Daisuke TAKAHASHI,JPN,247.93,1,84.44,1,163.49,2006-12-03,gpjpn06
2,Nobunari ODA,JPN,244.56,2,83.55,2,161.01,2006-12-03,gpjpn06
3,Takahiko KOZUKA,JPN,208.34,4,67.95,3,140.39,2006-12-03,gpjpn06
4,Chengjiang LI,CHN,191.32,3,69.26,4,122.06,2006-12-03,gpjpn06
5,Alexander USPENSKI,RUS,183.36,6,64.63,5,118.73,2006-12-03,gpjpn06
6,Kevin VAN DER PERREN,BEL,178.9,5,65.55,7,113.35,2006-12-03,gpjpn06
7,Patrick CHAN,CAN,174.34,8,60.8,6,113.54,2006-12-03,gpjpn06
8,Jialiang WU,CHN,169.22,9,56.39,8,112.83,2006-12-03,gpjpn06
9,Kristoffer BERNTSSON,SWE,169.0,7,63.95,9,105.05,2006-12-03,gpjpn06
10,Geoffry VARNER,USA,150.79,11,52.7,10,98.09,2006-12-03,gpjpn06
11,Marc Andre CRAIG,CAN,144.67,10,52.73,11,91.94,2006-12-03,gpjpn06
