Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Marie-France DUBREUIL / Patrice LAUZON,CAN,195.89,1,38.28,1,60.23,1,97.38,2006-12-03,gpjpn06
2,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,180.57,2,33.66,2,55.15,2,91.76,2006-12-03,gpjpn06
3,Melissa GREGORY / Denis PETUKHOV,USA,177.81,3,33.62,3,54.56,3,89.63,2006-12-03,gpjpn06
4,Meryl DAVIS / Charlie WHITE,USA,169.49,4,29.98,4,52.86,4,86.65,2006-12-03,gpjpn06
5,Nozomi WATANABE / Akiyuki KIDO,JPN,150.27,5,28.99,6,46.9,6,74.38,2006-12-03,gpjpn06
6,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,149.9,6,27.4,5,47.05,5,75.45,2006-12-03,gpjpn06
7,Trina PRATT / Todd GILLES,USA,143.56,8,26.33,7,44.49,7,72.74,2006-12-03,gpjpn06
8,Lauren SENFT / Leif GISLASON,CAN,141.16,7,26.96,8,44.26,8,69.94,2006-12-03,gpjpn06
9,Kamila HAJKOVA / David VINCOUR,CZE,124.4,10,22.6,9,39.9,11,61.9,2006-12-03,gpjpn06
10,Mylene LAMOUREUX / Michael MEE,CAN,123.51,9,24.86,11,34.75,9,63.9,2006-12-03,gpjpn06
11,Zsuzsanna NAGY / Gyorgy ELEK,HUN,118.68,11,21.05,10,35.1,10,62.53,2006-12-03,gpjpn06
