2006 NHK Trophy,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Xue SHEN / Hongbo ZHAO,CHN,,125.39  63.55,,,63.84,2.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3T+2T  5.30  0.00,0 0 0,0,0 0 0 0,,0,-1 - -,5.30
2 2A  3.30  0.80,0 0 1,1,1 1 1 1,,1,0 - -,4.10
3 3LzTw2  5.00  1.40,2 2 2,2,2 3 2 2,,2,0 - -,6.40
4 5ALi4  6.50  1.80,1 1 1,1,2 2 2 1,,2,2 - -,8.30
5 FoDs3  4.00  0.00,1 0 0,0,0 1 0 0,,0,0 - -,4.00
6 FCCoSp2  2.50 -0.12,0 0 1,-1,-1 -1 0 1,,0,0 - -,2.38
7 3Li4  4.00  0.30,2 1 1,1,1 1 1 1,,1,2 - -,4.30
8 SlSt2  2.30  0.40,1 1 0,1,1 0 0 1,,2,1 - -,2.70
9 3LoTh  5.50 x  1.40,2 1 2,2,2 2 2 2,,3,2 - -,6.90
10 3STh  4.95 x  1.52,2 1 2,2,2 2 3 3,,3,2 - -,6.47
11 SpSq4  3.40  1.00,0 1 1,0,1 1 1 0,,1,1 - -,4.40
12 PCoSp1  3.00 -0.08,-1 1 0,-2,-1 -1 0 1,,-1,1 - -,2.92
13 5TLi3  5.50 -0.12,-1 0 0,-1,-1 -1 0 0,,0,0 - -,5.38
55.25,,,,,,,63.55
Program Components Factor,,,,,,,
Skating Skills  1.60,8.25 8.25 8.00,7.75,7.75 7.75 8.25 8.00,,8.00,8.00 - -,7.95
Transition / Linking Footwork  1.60,8.00 8.00 8.00,7.75,7.75 7.75 8.25 7.50,,7.75,7.75 - -,7.80
Performance / Execution  1.60,8.00 8.00 8.25,8.00,8.25 8.00 8.25 7.75,,7.75,7.50 - -,8.00
Choreography / Composition  1.60,8.25 8.25 8.25,8.00,8.25 7.75 8.25 7.75,,8.25,7.75 - -,8.10
Interpretation  1.60,8.00 8.00 8.25,8.00,8.25 8.25 8.50 8.00,,7.50,7.75 - -,8.05
Judges Total Program Component Score (factored),,,,,,,63.84
Deductions: Time violation:,-2.00,,,,,,-2.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Dan ZHANG / Hao ZHANG,CHN,,118.05  59.81,,,58.24,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3STh  4.50  0.84,0 1 1,1,1 1 2 2,,2,1 - -,5.34
2 2A+2T  4.60 -0.56,-1 0 0,0,-1 -1 -2 0,,-1,-1 - -,4.04
3 3FTw3  5.50  1.26,1 2 2,2,2 2 1 2,,3,1 - -,6.76
4 5TLi4  6.00  0.30,1 1 1,0,1 1 1 2,,1,1 - -,6.30
5 PCoSp4  4.50  0.40,0 1 1,0,1 1 0 1,,1,2 - -,4.90
6 BoDs3  4.00  0.28,0 0 0,0,1 0 0 0,,1,1 - -,4.28
7 3LoTh  5.50 x  0.56,1 0 1,1,1 1 1 2,,2,0 - -,6.06
8 2S  1.43 x -0.68,-2 -1 0,-3,-2 -2 -2 -2,,-3,-2 - -,0.75
9 SpSq4  3.40  0.60,0 0 1,0,1 1 0 0,,1,1 - -,4.00
10 5ALi3  6.00  1.00,1 0 1,1,1 1 1 1,,1,2 - -,7.00
11 CiSt3  3.10  0.00,0 0 0,0,0 0 0 0,,0,0 - -,3.10
12 FCCoSp3  3.00  0.10,0 0 1,1,0 0 0 1,,1,0 - -,3.10
13 3Li4  4.00  0.18,1 0 0,0,1 1 0 1,,1,1 - -,4.18
55.53,,,,,,,59.81
Program Components Factor,,,,,,,
Skating Skills  1.60,7.50 7.50 8.00,7.00,7.50 7.00 7.75 7.75,,7.50,7.75 - -,7.45
Transition / Linking Footwork  1.60,7.00 7.25 7.50,6.75,7.25 7.00 7.25 7.50,,6.75,7.50 - -,7.10
