2006 NHK Trophy,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,,Total Total,,Total,Total
"",NOC,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,,Score Score,,Score (factored),
"",,,= +,,+,-
1 Mao ASADA,JPN,,130.02  70.18,,59.84,0.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
4 2A  3.30 -0.14,0 0 0 -1,,-1 0 0 0,,0,0 - -,3.16
5 SpSq4  3.40  0.00,0 1 0 1,,0 0 0 0,,0,0 - -,3.40
6 3Lz  6.60 x -0.60,0 0 0 -1,,-1 0 1 -1,,0,-1 - -,6.00
7 3F+SEQ  4.84 x -3.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,1.84
8 FCoSp3  2.50  0.00,0 1 -1 0,,0 0 0 0,,0,-1 - -,2.50
9 FCSp3  2.30  0.00,0 0 0 0,,0 0 -1 0,,0,0 - -,2.30
10 3S  4.95 x -3.00,-3 -2 -3 -3,,-3 -2 -3 -3,,-3,-3 - -,1.95
11 SlSt2  2.30  0.00,0 1 0 0,,0 0 0 0,,0,0 - -,2.30
12 3T  4.40 x -1.00,-1 -1 -1 -1,,-1 -1 -1 -1,,-1,-1 - -,3.40
13 CCoSp3  3.00  0.00,0 1 0 0,,0 0 1 0,,0,0 - -,3.00
53.39,,,,,,,42.45
Program Components Factor,,,,,,,
Skating Skills  1.60,5.25 6.25 5.25 5.25,,5.25 5.00 5.25 5.50,,5.50,5.00 - -,5.20
Transition / Linking Footwork  1.60,4.75 5.50 4.75 5.00,,5.00 4.75 5.00 5.25,,5.00,4.50 - -,4.90
Performance / Execution  1.60,4.50 5.75 5.00 5.25,,4.75 5.00 5.25 5.00,,5.75,5.00 - -,5.00
Choreography / Composition  1.60,5.00 5.75 4.75 5.25,,5.00 4.75 5.50 5.25,,5.50,5.00 - -,5.10
Interpretation  1.60,4.75 6.25 4.75 5.25,,5.25 4.75 5.00 5.25,,5.50,5.00 - -,5.05
Judges Total Program Component Score (factored),,,,,,,40.40
Deductions: Falls:,-3.00,,,,,,-3.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
2006 NHK Trophy,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
7 Beatrisa LIANG,USA,,78.80  34.96,,,45.84,2.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 LSp3  2.40  0.50,2 1 2 1,,1 1 1 1,,1,0 - -,2.90
2 3F  5.50 -3.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,2.50
3 2Lz  1.90 -1.00,-3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,0.90
4 2A  3.30  0.00,0 0 0 0,,1 0 0 0,,0,0 - -,3.30
5 FSSp3  2.30  0.20,0 1 0 1,,0 1 1 0,,0,0 - -,2.50
6 SlSt3  3.10  0.10,1 0 1 0,,0 1 0 0,,1,0 - -,3.20
7 3T  4.00  0.00,0 0 0 -1,,0 0 1 0,,0,0 - -,4.00
8 CCoSp4  3.50  0.00,0 0 0 0,,0 0 0 0,,1,0 - -,3.50
9 1Lo  0.55 x -0.04,0 -2 0 0,,-1 0 -1 0,,-1,-1 - -,0.51
