Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Anna CAPPELLINI / Luca LANOTTE,ITA,175.43,1,69.7,4,105.73,2014-03-30,wc2014
2,Kaitlyn WEAVER / Andrew POJE,CAN,175.41,2,69.2,3,106.21,2014-03-30,wc2014
3,Nathalie PECHALAT / Fabian BOURZAT,FRA,175.37,3,68.2,2,107.17,2014-03-30,wc2014
4,Elena ILINYKH / Nikita KATSALAPOV,RUS,174.38,5,65.67,1,108.71,2014-03-30,wc2014
5,Madison CHOCK / Evan BATES,USA,167.59,4,67.71,5,99.88,2014-03-30,wc2014
6,Maia SHIBUTANI / Alex SHIBUTANI,USA,158.57,6,63.55,6,95.02,2014-03-30,wc2014
7,Victoria SINITSINA / Ruslan ZHIGANSHIN,RUS,155.35,8,62.11,8,93.24,2014-03-30,wc2014
8,Piper GILLES / Paul POIRIER,CAN,153.86,10,59.42,7,94.44,2014-03-30,wc2014
9,Penny COOMES / Nicholas BUCKLAND,GBR,153.66,9,61.21,9,92.45,2014-03-30,wc2014
10,Alexandra PAUL / Mitchell ISLAM,CAN,148.76,11,57.68,10,91.08,2014-03-30,wc2014
11,Nelli ZHIGANSHINA / Alexander GAZSI,GER,148.37,7,62.27,14,86.1,2014-03-30,wc2014
12,Julia ZLOBINA / Alexei SITNIKOV,AZE,145.24,12,57.01,11,88.23,2014-03-30,wc2014
13,Gabriella PAPADAKIS / Guillaume CIZERON,FRA,141.49,15,55.11,13,86.38,2014-03-30,wc2014
14,Charlene GUIGNARD / Marco FABBRI,ITA,140.77,17,53.98,12,86.79,2014-03-30,wc2014
15,Isabella TOBIAS / Deividas STAGNIUNAS,LTU,140.72,13,55.37,15,85.35,2014-03-30,wc2014
16,Sara HURTADO / Adria DIAZ,ESP,137.47,16,55.06,17,82.41,2014-03-30,wc2014
17,Alexandra ALDRIDGE / Daniel EATON,USA,137.37,18,53.34,16,84.03,2014-03-30,wc2014
18,Cathy REED / Chris REED,JPN,136.13,14,55.18,18,80.95,2014-03-30,wc2014
19,Irina SHTORK / Taavi RAND,EST,130.38,20,53.03,19,77.35,2014-03-30,wc2014
20,Alisa AGAFONOVA / Alper UCAR,TUR,124.02,19,53.07,20,70.95,2014-03-30,wc2014
21,Tanja KOLBE / Stefano CARUSO,GER,52.08,21,52.08,DNQ,DNQ,2014-03-30,wc2014
22,Justyna PLUTOWSKA / Peter GERBER,POL,51.99,22,51.99,DNQ,DNQ,2014-03-30,wc2014
23,Federica TESTA / Lukas CSOLLEY,SVK,51.56,23,51.56,DNQ,DNQ,2014-03-30,wc2014
24,Danielle OBRIEN / Gregory MERRIMAN,AUS,51.06,24,51.06,DNQ,DNQ,2014-03-30,wc2014
25,Ramona ELSENER / Florian ROOST,SUI,50.64,25,50.64,DNQ,DNQ,2014-03-30,wc2014
26,Henna LINDHOLM / Ossi KANERVO,FIN,50.61,26,50.61,DNQ,DNQ,2014-03-30,wc2014
27,Gabriela KUBOVA / Matej NOVAK,CZE,50.43,27,50.43,DNQ,DNQ,2014-03-30,wc2014
28,Dora TUROCZI / Balazs MAJOR,HUN,48.49,28,48.49,DNQ,DNQ,2014-03-30,wc2014
29,Laurence FOURNIER BEAUDRY / Nikolaj SORENSEN,DEN,48.46,29,48.46,DNQ,DNQ,2014-03-30,wc2014
30,Allison REED / Vasili ROGOV,ISR,46.05,30,46.05,DNQ,DNQ,2014-03-30,wc2014
31,Angelina TELEGINA / Otar JAPARIDZE,GEO,42.85,31,42.85,DNQ,DNQ,2014-03-30,wc2014
32,Viktoria KAVALIOVA / Yurii BIELIAIEV,BLR,41.08,32,41.08,DNQ,DNQ,2014-03-30,wc2014
WD,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,WD,WD,WD,WD,WD,2014-03-30,wc2014
