Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Qing PANG / Jian TONG,CHN,211.39,1,75.28,1,136.11,2010-03-28,wc2010
2,Aliona SAVCHENKO / Robin SZOLKOWY,GER,204.74,3,69.52,2,135.22,2010-03-28,wc2010
3,Yuko KAVAGUTI / Alexander SMIRNOV,RUS,203.79,2,73.12,3,130.67,2010-03-28,wc2010
4,Maria MUKHORTOVA / Maxim TRANKOV,RUS,197.39,4,69.48,4,127.91,2010-03-28,wc2010
5,Dan ZHANG / Hao ZHANG,CHN,195.78,5,69.2,5,126.58,2010-03-28,wc2010
6,Jessica DUBE / Bryce DAVISON,CAN,177.07,8,59.36,6,117.71,2010-03-28,wc2010
7,Caydee DENNEY / Jeremy BARRETT,USA,172.47,6,60.52,8,111.95,2010-03-28,wc2010
8,Vera BAZAROVA / Yuri LARIONOV,RUS,172.04,7,59.78,7,112.26,2010-03-28,wc2010
9,Amanda EVORA / Mark LADWIG,USA,165.96,9,57.74,9,108.22,2010-03-28,wc2010
10,Anabelle LANGLOIS / Cody HAY,CAN,154.72,12,54.4,10,100.32,2010-03-28,wc2010
11,Stefania BERTON / Ondrej HOTAREK,ITA,149.78,11,54.58,11,95.2,2010-03-28,wc2010
12,Vanessa JAMES / Yannick BONHEUR,FRA,146.58,10,55.6,13,90.98,2010-03-28,wc2010
13,Anais MORAND / Antoine DORSAZ,SUI,144.46,13,53.7,14,90.76,2010-03-28,wc2010
14,Maylin HAUSCH / Daniel WENDE,GER,142.98,14,49.74,12,93.24,2010-03-28,wc2010
15,Joanna SULEJ / Mateusz CHRUSCINSKI,POL,138.26,15,48.14,15,90.12,2010-03-28,wc2010
16,Stacey KEMP / David KING,GBR,132.87,16,45.14,16,87.73,2010-03-28,wc2010
17,Huibo DONG / Yiming WU,CHN,43.08,17,43.08,DNQ,DNQ,2010-03-28,wc2010
18,Maria SERGEJEVA / Ilja GLEBOV,EST,41.94,18,41.94,DNQ,DNQ,2010-03-28,wc2010
19,Lubov BAKIROVA / Mikalai KAMIANCHUK,BLR,41.44,19,41.44,DNQ,DNQ,2010-03-28,wc2010
20,Amanda SUNYOTO-YANG / Darryll SULNDRO-YANG,TPE,41.28,20,41.28,DNQ,DNQ,2010-03-28,wc2010
21,Jessica CRENSHAW / Chad TSAGRIS,GRE,40.36,21,40.36,DNQ,DNQ,2010-03-28,wc2010
22,Ekaterina KOSTENKO / Roman TALAN,UKR,39.18,22,39.18,DNQ,DNQ,2010-03-28,wc2010
23,Nina IVANOVA / Filip ZALEVSKI,BUL,36.84,23,36.84,DNQ,DNQ,2010-03-28,wc2010
24,Gabriela CERMANOVA / Martin HANULAK,SVK,35.18,24,35.18,DNQ,DNQ,2010-03-28,wc2010
25,Danielle MONTALBANO / Evgeni KRASNOPOLSKI,ISR,32.02,25,32.02,DNQ,DNQ,2010-03-28,wc2010
