Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Tessa VIRTUE / Scott MOIR,CAN,224.43,1,44.13,1,70.27,2,110.03,2010-03-28,wc2010
2,Meryl DAVIS / Charlie WHITE,USA,223.03,2,43.25,2,69.29,1,110.49,2010-03-28,wc2010
3,Federica FAIELLA / Massimo SCALI,ITA,197.85,3,40.85,3,59.16,4,97.84,2010-03-28,wc2010
4,Nathalie PECHALAT / Fabian BOURZAT,FRA,194.39,4,37.75,4,58.55,3,98.09,2010-03-28,wc2010
5,Sinead KERR / John KERR,GBR,189.11,6,37.56,5,58.23,5,93.32,2010-03-28,wc2010
6,Alexandra ZARETSKY / Roman ZARETSKY,ISR,181.26,8,33.79,6,56.13,6,91.34,2010-03-28,wc2010
7,Vanessa CRONE / Paul POIRIER,CAN,180.3,9,33.32,7,55.76,7,91.22,2010-03-28,wc2010
8,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,177.23,11,32.43,8,55.04,8,89.76,2010-03-28,wc2010
9,Emily SAMUELSON / Evan BATES,USA,168.77,10,32.61,10,52.79,10,83.37,2010-03-28,wc2010
10,Nora HOFFMANN / Maxim ZAVOZIN,HUN,166.9,13,31.47,11,51.91,9,83.52,2010-03-28,wc2010
11,Anna CAPPELLINI / Luca LANOTTE,ITA,164.52,7,34.05,12,51.4,14,79.07,2010-03-28,wc2010
12,Pernelle CARRON / Lloyd JONES,FRA,161.86,15,30.55,13,50.52,12,80.79,2010-03-28,wc2010
13,Ekaterina RUBLEVA / Ivan SHEFER,RUS,161.2,16,30.53,16,48.77,11,81.9,2010-03-28,wc2010
14,Kimberly NAVARRO / Brent BOMMENTRE,USA,159.68,14,31.36,15,50.33,15,77.99,2010-03-28,wc2010
15,Cathy REED / Chris REED,JPN,154.93,23,24.78,14,50.41,13,79.74,2010-03-28,wc2010
16,Lucie MYSLIVECKOVA / Matej NOVAK,CZE,147.93,18,26.95,17,46.07,17,74.91,2010-03-28,wc2010
17,Caitlin MALLORY / Kristjan RAND,EST,147.39,20,26.62,21,43.77,16,77,2010-03-28,wc2010
18,Xiaoyang YU / Chen WANG,CHN,142.8,17,28.42,19,44.59,19,69.79,2010-03-28,wc2010
19,Kira GEIL / Dmitri MATSJUK,AUT,142.49,19,26.69,18,44.88,18,70.92,2010-03-28,wc2010
20,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,91.98,5,37.7,9,54.28,DNQ,DNQ,2010-03-28,wc2010
21,Allison REED / Otar JAPARIDZE,GEO,69.42,22,26.07,22,43.35,DNQ,DNQ,2010-03-28,wc2010
22,Carolina HERMANN / Daniel HERMANN,GER,69.17,21,26.36,23,42.81,DNQ,DNQ,2010-03-28,wc2010
23,Christina CHITWOOD / Mark HANRETTY,GBR,68.97,24,24.7,20,44.27,DNQ,DNQ,2010-03-28,wc2010
24,Katelyn GOOD / Nikolaj SORENSEN,DEN,63.55,25,22.56,24,40.99,DNQ,DNQ,2010-03-28,wc2010
25,Danielle OBRIEN / Gregory MERRIMAN,AUS,59.28,26,21.07,25,38.21,DNQ,DNQ,2010-03-28,wc2010
26,Jenette MAITZ / Alper UCAR,TUR,49.5,27,17.36,26,32.14,DNQ,DNQ,2010-03-28,wc2010
WD,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,31.66,12,31.66,WD,WD,WD,WD,2010-03-28,wc2010
