Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Mao ASADA,JPN,197.58,2,68.08,2,129.5,2010-03-28,wc2010
2,Yu-Na KIM,KOR,190.79,7,60.3,1,130.49,2010-03-28,wc2010
3,Laura LEPISTO,FIN,178.62,3,64.3,6,114.32,2010-03-28,wc2010
4,Miki ANDO,JPN,177.82,11,55.78,3,122.04,2010-03-28,wc2010
5,Cynthia PHANEUF,CAN,177.54,8,59.5,4,118.04,2010-03-28,wc2010
6,Carolina KOSTNER,ITA,177.31,4,62.2,5,115.11,2010-03-28,wc2010
7,Mirai NAGASU,USA,175.48,1,70.4,11,105.08,2010-03-28,wc2010
8,Ksenia MAKAROVA,RUS,169.64,5,62.06,8,107.58,2010-03-28,wc2010
9,Rachael FLATT,USA,167.44,6,60.88,9,106.56,2010-03-28,wc2010
10,Viktoria HELGESSON,SWE,161.79,9,56.32,10,105.47,2010-03-28,wc2010
11,Akiko SUZUKI,JPN,160.04,20,48.36,7,111.68,2010-03-28,wc2010
12,Sarah HECKEN,GER,153.94,13,55.2,13,98.74,2010-03-28,wc2010
13,Alena LEONOVA,RUS,152.86,14,54.36,14,98.5,2010-03-28,wc2010
14,Jenna MCCORKELL,GBR,150.9,15,52.12,12,98.78,2010-03-28,wc2010
15,Julia SEBESTYEN,HUN,147.66,10,56.1,15,91.56,2010-03-28,wc2010
16,Yan LIU,CHN,141.29,18,49.96,16,91.33,2010-03-28,wc2010
17,Cheltzie LEE,AUS,137.78,17,51.36,17,86.42,2010-03-28,wc2010
18,Elene GEDEVANISHVILI,GEO,137.33,12,55.26,21,82.07,2010-03-28,wc2010
19,Kiira KORPI,FIN,134.49,16,51.72,20,82.77,2010-03-28,wc2010
20,Sonia LAFUENTE,ESP,133.31,21,47.72,18,85.59,2010-03-28,wc2010
21,Elena GLEBOVA,EST,132.85,22,47.72,19,85.13,2010-03-28,wc2010
22,Min-Jung KWAK,KOR,120.47,23,47.46,22,73.01,2010-03-28,wc2010
23,Anastasia GIMAZETDINOVA,UZB,113.89,19,49.1,23,64.79,2010-03-28,wc2010
24,Manouk GIJSMAN,NED,111.94,24,47.44,24,64.5,2010-03-28,wc2010
25,Ivana REITMAYEROVA,SVK,45.96,25,45.96,DNQ,DNQ,2010-03-28,wc2010
26,Sarah MEIER,SUI,45.06,26,45.06,DNQ,DNQ,2010-03-28,wc2010
27,Tamar KATZ,ISR,44.96,27,44.96,DNQ,DNQ,2010-03-28,wc2010
28,Tugba KARADEMIR,TUR,44.52,28,44.52,DNQ,DNQ,2010-03-28,wc2010
29,Myriane SAMSON,CAN,44.2,29,44.2,DNQ,DNQ,2010-03-28,wc2010
30,Kerstin FRANK,AUT,43.8,30,43.8,DNQ,DNQ,2010-03-28,wc2010
31,Victoria MUNIZ,PUR,41.08,31,41.08,DNQ,DNQ,2010-03-28,wc2010
32,Bettina HEIM,SUI,41,32,41,DNQ,DNQ,2010-03-28,wc2010
33,Fleur MAXWELL,LUX,40.22,33,40.22,DNQ,DNQ,2010-03-28,wc2010
34,Teodora POSTIC,SLO,40.2,34,40.2,DNQ,DNQ,2010-03-28,wc2010
35,Karina JOHNSON,DEN,38.22,35,38.22,DNQ,DNQ,2010-03-28,wc2010
36,Zanna PUGACA,LAT,38.2,36,38.2,DNQ,DNQ,2010-03-28,wc2010
37,Mirna LIBRIC,CRO,37.24,37,37.24,DNQ,DNQ,2010-03-28,wc2010
38,Lauren KO,PHI,33.34,38,33.34,DNQ,DNQ,2010-03-28,wc2010
39,Martina BOCEK,CZE,32.9,39,32.9,DNQ,DNQ,2010-03-28,wc2010
40,Irina MOVCHAN,UKR,32.6,40,32.6,DNQ,DNQ,2010-03-28,wc2010
41,Sonia RADEVA,BUL,32.12,41,32.12,DNQ,DNQ,2010-03-28,wc2010
42,Ana Cecilia CANTU,MEX,31.88,42,31.88,DNQ,DNQ,2010-03-28,wc2010
43,Crystal KIANG,TPE,31.72,43,31.72,DNQ,DNQ,2010-03-28,wc2010
44,Georgia GLASTRIS,GRE,31.36,44,31.36,DNQ,DNQ,2010-03-28,wc2010
45,Gwendoline DIDIER,FRA,29.32,45,29.32,DNQ,DNQ,2010-03-28,wc2010
46,Marina SEEH,SRB,28.32,46,28.32,DNQ,DNQ,2010-03-28,wc2010
47,Clara PETERS,IRL,28.2,47,28.2,DNQ,DNQ,2010-03-28,wc2010
48,Tamami ONO,HKG,27.74,48,27.74,DNQ,DNQ,2010-03-28,wc2010
49,Abigail PIETERSEN,RSA,25.76,49,25.76,DNQ,DNQ,2010-03-28,wc2010
50,Charissa TANSOMBOON,THA,25.22,50,25.22,DNQ,DNQ,2010-03-28,wc2010
51,Sabina PAQUIER,ROU,24.42,51,24.42,DNQ,DNQ,2010-03-28,wc2010
52,Yoniko Eva WASHINGTON,IND,24.24,52,24.24,DNQ,DNQ,2010-03-28,wc2010
53,Beatrice ROZINSKAITE,LTU,23.68,53,23.68,DNQ,DNQ,2010-03-28,wc2010
WD,Isabelle PIEMAN,BEL,WD,WD,WD,WD,WD,2010-03-28,wc2010
WD,Sonja MUGOSA,MNE,WD,WD,WD,WD,WD,2010-03-28,wc2010
