Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpf1718,2017-12-10,Alina ZAGITOVA,RUS,223.3,2,76.27,1,147.03
2,gpf1718,2017-12-10,Maria SOTSKOVA,RUS,216.28,4,74.0,2,142.28
3,gpf1718,2017-12-10,Kaetlyn OSMOND,CAN,215.16000000000003,1,77.04,5,138.12
4,gpf1718,2017-12-10,Carolina KOSTNER,ITA,214.65,6,72.82,3,141.83
5,gpf1718,2017-12-10,Satoko MIYAHARA,JPN,213.49,3,74.61,4,138.88
6,gpf1718,2017-12-10,Wakaba HIGUCHI,JPN,202.11,5,73.26,6,128.85
