10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Mao ASADA,JPN,0,122.9,63.94,60.96,2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3A<,,3.5,False,-2.5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,1.0
2,3F+3Lo,,10.5,False,-0.2,2,0,-1,2,-2,-1,1,-1,-1,-2,,10.3
3,CSp4,,2.4,False,0.7,2,1,1,1,2,2,1,1,1,1,,3.1
4,3Lz,e,6.0,False,-1.2,-1,0,-1,-1,-1,-2,-1,-1,-2,-1,,4.8
5,FSSp4,,3.0,False,0.5,1,1,1,1,1,1,1,1,1,1,,3.5
6,SpSq4,,3.4,False,1.0,1,1,2,1,1,1,1,0,1,0,,4.4
7,3Lo,,5.5,True,1.2,2,1,1,2,1,1,2,1,1,2,,6.7
8,3F+2Lo,,7.7,True,0.6,1,1,0,1,0,1,2,1,0,2,,8.3
9,2A+2Lo+2Lo<,,6.05,True,-0.96,-1,0,-2,-1,-3,-1,-2,-1,-1,-2,,5.09
10,CCoSp3,,3.0,False,0.8,1,1,2,2,2,1,2,1,2,1,,3.8
11,SlSt3,,3.1,False,1.0,2,2,1,2,2,2,2,1,2,1,,4.1
12,CoSp4,,3.0,False,1.0,2,1,2,2,2,2,2,1,2,1,,4.0
13,2A,,3.85,True,1.0,1,1,1,1,1,2,2,1,1,1,,4.85
,,,61.0,,,,,,,,,,,,,,63.94
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,7.75,7.75,7.5,8.0,8.0,8.25,7.75,7.5,7.75,7.25,,7.85
,Transition / Linking Footwork  ,,,,1.6,7.25,7.5,6.75,7.75,7.25,8.25,7.5,7.0,7.25,6.75,,7.4
,Performance / Execution  ,,,,1.6,7.5,7.75,7.25,8.0,7.5,8.0,7.75,7.5,7.5,6.75,,7.65
,Choreography / Composition  ,,,,1.6,7.75,7.75,7.5,7.75,7.5,8.0,7.75,7.25,7.5,7.25,,7.65
,Interpretation  ,,,,1.6,7.75,7.5,7.5,7.75,7.25,8.5,8.0,7.5,7.25,7.0,,7.55
,,,,,,,,,,,,,,,,,60.96
Deduction,Time violation,-1.0
Deduction,Falls,-1.0
