Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Albena DENKOVA / Maxim STAVISKI,BUL,197.25,1,38.32,1,61.15,1,97.78,2006-11-19,gpfra06
2,Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,194.62,2,37.65,2,59.25,2,97.72,2006-11-19,gpfra06
3,Federica FAIELLA / Massimo SCALI,ITA,176.62,3,33.63,3,54.76,3,88.23,2006-11-19,gpfra06
4,Tessa VIRTUE / Scott MOIR,CAN,160.12,5,31.29,8,45.08,4,83.75,2006-11-19,gpfra06
5,Anna CAPPELLINI / Luca LANOTTE,ITA,159.77,6,31.18,4,49.58,5,79.01,2006-11-19,gpfra06
6,Nora HOFFMANN / Attila ELEK,HUN,155.36,7,30.54,6,47.93,7,76.89,2006-11-19,gpfra06
7,Nathalie PECHALAT / Fabian BOURZAT,FRA,153.3,4,31.53,5,49.23,8,72.54,2006-11-19,gpfra06
8,Pernelle CARRON / Mathieu JOST,FRA,151.93,9,28.73,7,45.13,6,78.07,2006-11-19,gpfra06
9,Anastasia GREBENKINA / Vazgen AZROJAN,ARM,143.25,8,28.86,9,42.8,9,71.59,2006-11-19,gpfra06
10,Allie HANN-McCURDY / Michael CORENO,CAN,132.73,10,25.36,10,41.01,10,66.36,2006-11-19,gpfra06
11,Xintong HUANG / Xun ZHENG,CHN,126.7,11,23.97,11,38.91,12,63.82,2006-11-19,gpfra06
12,Zsuzsanna NAGY / György ELEK,HUN,123.16,12,22.97,12,36.21,11,63.98,2006-11-19,gpfra06
