ISU GP NHK Trophy 2013,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name,Nation Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Mao ASADA,JPN  8,71.26  36.89,,34.37,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3A  8.50 -1.86,-1 -2 -2,-3 -2 -1 -2,,-2 -2,6.64,
2 3F  5.30  0.80,0 2 1,1 2 1 1,,1 1,6.10,
3 CCoSp4  3.50  0.93,2 2 2,1 2 2 1,,2 3,4.43,
4 FCSp4  3.20  0.71,1 1 1,1 2 2 2,,1 2,3.91,
Info,,,,Info,,Info
5 3Lo+2Lo< <  7.04 x -0.70,-1 -1 0,-1 -1 -1 -1,,-1 -1,6.34,
6 StSq4  3.90  1.80,3 2 3,1 3 2 3,,2 3,5.70,
7 LSp4  2.70  1.07,2 3 2,2 2 2 2,,2 3,3.77,
34.14,,,,,36.89,
Program Components Factor,,,,,,
Skating Skills  0.80,8.75 8.50 9.25,8.00 8.75 8.25 8.75,,9.00 8.50,8.64,
Transition / Linking Footwork  0.80,8.50 8.00 8.25,8.00 8.75 8.00 8.50,,8.25 8.25,8.25,
Performance / Execution  0.80,8.75 8.25 9.00,8.00 9.25 8.50 8.50,,8.75 8.50,8.61,
Choreography / Composition  0.80,8.75 8.50 8.75,9.00 9.00 8.50 8.25,,8.75 8.75,8.71,
Interpretation  0.80,8.50 8.50 9.00,8.50 9.00 8.25 9.00,,9.00 8.75,8.75,
Judges Total Program Component Score (factored),,,,,34.37,
Deductions:,,,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name,Nation Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Akiko SUZUKI,JPN  9,66.03  32.68,,33.35,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3T+2T  5.40  0.70,1 2 1,1 2 1 1,,0 0,6.10,
2 3F  5.30 -0.70,-1 -1 -1,0 -2 -1 -1,,-1 -1,4.60,
3 FCSp4  3.20  0.57,1 2 2,1 1 0 1,,1 1,3.77,
4 LSp4  2.70  0.93,1 2 2,2 2 2 2,,2 1,3.63,
5 2A  3.63 x  0.64,1 2 2,2 1 1 1,,1 1,4.27,
6 StSq4  3.90  1.70,2 3 3,2 3 2 2,,1 3,5.60,
7 CCoSp4  3.50  1.21,2 3 2,2 3 3 2,,3 2,4.71,
27.63,,,,,32.68,
Program Components Factor,,,,,,
Skating Skills  0.80,8.75 8.25 9.00,8.00 8.50 8.50 7.25,,8.00 8.25,8.32,
Transition / Linking Footwork  0.80,8.25 8.00 8.25,7.75 8.25 8.25 7.00,,7.75 8.25,8.07,
Performance / Execution  0.80,9.00 8.50 7.75,8.25 9.00 8.25 7.25,,7.75 8.50,8.29,
Choreography / Composition  0.80,8.75 8.75 9.00,8.00 9.00 8.50 7.00,,8.25 8.25,8.50,
Interpretation  0.80,9.00 9.00 8.25,8.25 9.00 8.50 7.00,,8.00 8.50,8.50,
Judges Total Program Component Score (factored),,,,,33.35,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name,Nation Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
3 Elena RADIONOVA,RUS  3,62.83  34.12,,28.71,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
