ISU GP Trophee E. Bompard 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
Skating Skills  2.00 6.75 7.75,6.75,6.75 6.50 6.75 7.25,,7.00 8.25,7.00,
Transition / Linking Footwork  2.00 6.25 6.00,6.50,6.50 5.00 6.25 6.00,,5.50 7.00,6.14,
Performance / Execution  2.00 6.75 7.50,7.00,7.50 6.25 7.00 6.50,,6.50 7.75,6.96,
Choreography / Composition  2.00 6.50 7.50,7.50,7.00 6.00 6.50 6.50,,7.00 7.50,6.93,
Interpretation  2.00 6.75 7.00,7.25,6.75 6.00 6.75 6.75,,6.25 8.00,6.79,
Judges Total Program Component Score (factored),,,,,67.64,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,,
ISU GP Trophee E. Bompard 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
3 Adam RIPPON USA,7,144.93  70.05,,74.88,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4Lz<< <<  6.00 -2.00 -3 -2,-2,-3 -3 -3 -3,,-3 -3,4.00,
2 3A+2T  9.80  0.00 0 1,0,0 0 0 -1,,0 0,9.80,
3 3Lo  5.10  0.90 2 2,2,1 1 0 1,,1 1,6.00,
4 CSSp3  2.60  0.50 0 2,1,1 0 1 2,,2 0,3.10,
"",,Info,,,,Info
5 CiSt3  3.30  1.07 3 2,2,2 1 1 3,,3 2,4.37,
6 3A  9.35 x  0.00 0 1,0,0 0 0 0,,0 0,9.35,
7 3F+2T  7.26 x  0.00 1 1,0,0 0 -1 0,,0 -1,7.26,
8 2Lz+1Lo+3S< <  6.05 x -0.80 -2 -1,-1,-1 -2 -1 -1,,-1 -1,5.25,
9 3Lz  6.60 x  0.60 2 0,3,1 1 0 1,,1 -1,7.20,
10 CCoSp4  3.50  0.64 0 1,2,1 1 2 3,,2 0,4.14,
11 ChSt1  2.00  1.10 2 1,2,1 1 2 2,,2 1,3.10,
12 3T< <  3.19 x -0.70 -1 1,-1,-1 -1 -1 -1,,-1 -1,2.49,
13 FCSp4  3.20  0.79 1 2,1,2 1 2 3,,2 1,3.99,
67.95,,,,,70.05,
Program Components Factor,,,,,,
Skating Skills  2.00 7.75 8.00,7.75,7.75 7.50 6.75 7.25,,7.50 7.50,7.57,
Transition / Linking Footwork  2.00 7.00 7.50,7.25,7.25 6.25 6.75 7.50,,7.00 7.00,7.11,
Performance / Execution  2.00 8.25 8.25,7.75,7.50 7.00 7.00 7.00,,7.75 7.50,7.54,
Choreography / Composition  2.00 7.75 7.75,7.75,7.75 7.25 7.00 7.50,,7.50 7.25,7.54,
Interpretation  2.00 8.00 8.50,7.50,7.75 7.00 7.25 7.75,,8.00 7.50,7.68,
Judges Total Program Component Score (factored),,,,,74.88,
Deductions:,,,,,0.00,
"<  Under-rotated jump<<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
4 Michal BREZINA CZE,8,144.28  67.72,,76.56,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3A  8.50  1.86 1 2,2,2 1 2 2,,2 2,10.36,
2 3F+3T  9.40 -0.50 -1 -1,0,-2 -1 -1 -1,,0 1,8.90,
3 2S  1.30 -0.03 1 -1,-1,0 0 0 0,,0 0,1.27,
4 FSSp3  2.60  0.36 1 0,0,1 1 1 0,,1 1,2.96,
5 CiSt3  3.30  1.00 2 2,2,2 2 2 2,,1 3,4.30,
6 3A+2T  10.78 x  1.57 1 2,1,2 1 1 2,,2 2,12.35,
7 3F  5.83 x  1.10 1 -1,2,1 2 1 2,,2 2,6.93,
8 3Lo  5.61 x  0.50 1 0,1,1 1 1 0,,1 0,6.11,
9 3Lz  6.60 x  0.50 1 0,0,1 0 1 1,,1 1,7.10,
10 2A  3.63 x -1.00 -2 -2,-2,-2 -2 -2 -3,,-2 -2,2.63,
11 CCoSp1  2.00 -0.09 1 0,-1,0 0 0 -1,,-1 0,1.91,
12 ChSt1  2.00  0.90 1 0,1,2 2 1 1,,1 2,2.90,
13 CSSp  0.00  0.00 - -,-,- - - -,,- -,0.00,
61.55,,,,,67.72,
Program Components Factor,,,,,,
Skating Skills  2.00 8.00 7.50,8.00,7.75 8.00 8.00 7.75,,8.25 7.75,7.89,
Transition / Linking Footwork  2.00 7.25 7.00,7.00,6.75 7.75 7.25 7.25,,7.50 6.75,7.14,
Performance / Execution  2.00 7.75 7.25,7.75,7.50 8.25 7.75 7.50,,8.25 8.25,7.82,
Choreography / Composition  2.00 7.75 7.50,7.50,7.50 7.75 7.50 7.25,,8.00 7.75,7.61,
Interpretation  2.00 8.00 6.75,7.50,7.50 8.00 7.75 7.75,,8.25 8.25,7.82,
Judges Total Program Component Score (factored),,,,,76.56,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU GP Trophee E. Bompard 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
5 Florent AMODIO FRA,6,129.92  60.48,,70.44,-1.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3S  4.20  0.70 1 2,1,1 1 0 2,,1 0,4.90,
2 4S  10.50 -3.00 -3 -3,-3,-3 -3 -3 -3,,-3 -3,7.50,
3 CCoSp4  3.50  0.71 2 2,1,1 1 2 1,,2 1,4.21,
4 CiSt2  2.60  0.86 2 2,1,2 2 1 2,,1 2,3.46,
"",,,,Info,,Info
5 1A  1.21 x  0.11 1 1,1,0 1 0 2,,0 -1,1.32,
6 3Lz+1Lo+2T+SEQ  6.42 x  0.50 1 1,1,1 1 0 1,,0 0,6.92,
7 FCSp1  1.90  0.07 0 0,1,0 0 0 1,,0 0,1.97,
8 3Lz+2T  8.03 x  0.80 1 2,1,2 1 1 2,,0 0,8.83,
9 3F e  5.83 x -1.40 -2 -2,-2,-2 -3 -2 -2,,-2 -2,4.43,
10 3A  9.35 x  1.43 2 1,2,2 2 1 1,,1 0,10.78,
11 ChSt1  2.00  1.20 2 2,2,2 2 1 3,,1 1,3.20,
12 CSSp3  2.60  0.36 1 1,2,0 1 1 1,,0 0,2.96,
58.14,,,,,60.48,
Program Components Factor,,,,,,
Skating Skills  2.00 7.50 7.00,7.00,7.00 8.25 7.25 7.25,,6.75 7.00,7.14,
Transition / Linking Footwork  2.00 7.00 6.00,6.00,6.50 6.75 6.75 6.75,,6.00 6.75,6.50,
Performance / Execution  2.00 7.50 7.25,7.25,7.25 8.50 7.00 7.50,,6.75 7.25,7.29,
Choreography / Composition  2.00 7.25 6.50,7.25,6.75 7.50 7.25 7.25,,6.75 6.75,7.04,
Interpretation  2.00 7.75 7.00,7.00,7.25 7.75 7.25 7.50,,6.00 7.00,7.25,
Judges Total Program Component Score (factored),,,,,70.44,
Deductions: Falls: -1.00,,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
6 Alexander MAJOROV SWE,3,128.48  65.78,,62.70,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3A+2T  9.80  0.71 1 0,0,1 2 1 0,,1 1,10.51,
2 3Lz+2T  7.30 -0.60 -1 -1,-1,0 0 -2 -1,,-1 -1,6.70,
3 3A  8.50 -1.14 -2 -2,-1,-1 -1 -1 -1,,-1 -1,7.36,
4 CCoSp4  3.50  0.50 1 1,1,1 2 1 1,,1 1,4.00,
5 SlSt3  3.30  0.50 1 1,1,2 1 1 1,,1 0,3.80,
6 3F+3T  10.34 x -1.20 -2 -2,-2,-2 -1 -1 -2,,-1 -2,9.14,
7 2A  3.63 x  0.71 1 1,2,2 2 2 1,,1 0,4.34,
8 2F  1.98 x -0.64 -2 -2,-2,-2 -2 -3 -3,,-2 -2,1.34,
9 FSSp4  3.00  0.21 0 1,1,0 2 0 0,,1 0,3.21,
10 3S  4.62 x  0.40 1 0,0,1 1 0 0,,1 1,5.02,
11 2A  3.63 x  0.36 1 0,1,0 1 0 1,,1 1,3.99,
12 FCCoSp4  3.50  0.57 1 1,2,1 2 1 1,,1 0,4.07,
13 ChSt1  2.00  0.30 0 1,0,0 1 1 1,,0 0,2.30,
65.10,,,,,65.78,
Program Components Factor,,,,,,
Skating Skills  2.00 6.25 6.25,6.75,5.75 6.75 6.50 6.25,,6.25 6.50,6.39,
Transition / Linking Footwork  2.00 5.25 6.00,6.25,6.25 5.75 6.25 6.00,,5.75 6.00,6.00,
Performance / Execution  2.00 5.75 6.50,6.50,6.50 6.75 6.50 6.25,,6.00 6.50,6.39,
Choreography / Composition  2.00 6.00 6.00,6.75,6.00 6.50 6.25 6.50,,6.00 6.25,6.21,
Interpretation  2.00 5.75 6.25,6.50,6.00 6.50 6.50 6.50,,6.25 6.50,6.36,
Judges Total Program Component Score (factored),,,,,62.70,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU GP Trophee E. Bompard 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,,Total Total,,Total,Total,
Rank Name Nation Number,,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
