Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Patrick CHAN,CAN,240.6,1,84.16,1,156.44,2011-11-20,gpfra2011
2,Nan SONG,CHN,224.1,2,76.53,2,147.57,2011-11-20,gpfra2011
3,Michal BREZINA,CZE,218.6,3,74.32,4,144.28,2011-11-20,gpfra2011
4,Adam RIPPON,USA,217.89,4,72.96,3,144.93,2011-11-20,gpfra2011
5,Florent AMODIO,FRA,201.34,5,71.42,5,129.92,2011-11-20,gpfra2011
6,Alexander MAJOROV,SWE,190.6,8,62.12,6,128.48,2011-11-20,gpfra2011
7,Nobunari ODA,JPN,167.2,7,62.95,9,104.25,2011-11-20,gpfra2011
8,Romain PONSART,FRA,160.45,9,50.03,8,110.42,2011-11-20,gpfra2011
9,Chafik BESSEGHIER,FRA,160.39,10,46.43,7,113.96,2011-11-20,gpfra2011
WD,Kevin REYNOLDS,CAN,65.56,6,65.56,WD,WD,2011-11-20,gpfra2011
