Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,HANYU Yuzuru,JPN,280.09,1,101.45,1,178.64,2014-02-23,owg2014
2,CHAN Patrick,CAN,275.62,2,97.52,2,178.1,2014-02-23,owg2014
3,TEN Denis,KAZ,255.1,9,84.06,3,171.04,2014-02-23,owg2014
4,FERNANDEZ Javier,ESP,253.92,3,86.98,5,166.94,2014-02-23,owg2014
5,MACHIDA Tatsuki,JPN,253.42,11,83.48,4,169.94,2014-02-23,owg2014
6,TAKAHASHI Daisuke,JPN,250.67,4,86.4,6,164.27,2014-02-23,owg2014
7,YAN Han,CHN,246.2,8,85.66,7,160.54,2014-02-23,owg2014
8,LIEBERS Peter,GER,239.87,5,86.04,9,153.83,2014-02-23,owg2014
9,BROWN Jason,USA,238.37,6,86,11,152.37,2014-02-23,owg2014
10,BREZINA Michal,CZE,233.62,12,81.95,13,151.67,2014-02-23,owg2014
11,VERNER Tomas,CZE,232.99,13,81.09,12,151.9,2014-02-23,owg2014
12,ABBOTT Jeremy,USA,232.7,15,72.58,8,160.12,2014-02-23,owg2014
13,JOUBERT Brian,FRA,231.77,7,85.84,14,145.93,2014-02-23,owg2014
14,MAJOROV Alexander,SWE,224.86,10,83.81,16,141.05,2014-02-23,owg2014
15,REYNOLDS Kevin,CAN,222.23,17,68.76,10,153.47,2014-02-23,owg2014
16,HENDRICKX Jorik,BEL,214.04,16,72.52,15,141.52,2014-02-23,owg2014
17,GE Misha,UZB,203.26,18,68.07,17,135.19,2014-02-23,owg2014
18,AMODIO Florent,FRA,198.64,14,75.58,18,123.06,2014-02-23,owg2014
19,MARTINEZ Michael Christian,PHI,184.25,19,64.81,20,119.44,2014-02-23,owg2014
20,GODOROZHA Yakov,UKR,182.19,21,62.65,19,119.54,2014-02-23,owg2014
21,BYCHENKO Alexei,ISR,177.06,22,62.44,21,114.62,2014-02-23,owg2014
22,RAKIMGALIEV Abzal,KAZ,174.4,20,64.18,22,110.22,2014-02-23,owg2014
23,KELEMEN Zoltan,ROU,158.76,24,60.41,23,98.35,2014-02-23,owg2014
24,ROMANENKOV Viktor,EST,139.99,23,61.55,24,78.44,2014-02-23,owg2014
25,RAYA Javier,ESP,59.76,25,59.76,DNQ,DNQ,2014-02-23,owg2014
26,PFEIFER Viktor,AUT,56.6,26,56.6,DNQ,DNQ,2014-02-23,owg2014
27,PARKINSON Paul Bonifacio,ITA,56.3,27,56.3,DNQ,DNQ,2014-02-23,owg2014
28,FIRUS Liam,CAN,55.04,28,55.04,DNQ,DNQ,2014-02-23,owg2014
29,KERRY Brendan,AUS,47.12,29,47.12,DNQ,DNQ,2014-02-23,owg2014
WD,PLYUSHCHENKO Evgeny,WD,WD,WD,WD,WD,WD,2014-02-23,owg2014
