Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,SOTNIKOVA Adelina,RUS,224.59,2,74.64,1,149.95,2014-02-23,owg2014
2,KIM Yuna,KOR,219.11,1,74.92,2,144.19,2014-02-23,owg2014
3,KOSTNER Carolina,ITA,216.73,3,74.12,4,142.61,2014-02-23,owg2014
4,GOLD Gracie,USA,205.53,4,68.63,5,136.9,2014-02-23,owg2014
5,LIPNITSKAYA Yulia,RUS,200.57,5,65.23,6,135.34,2014-02-23,owg2014
6,ASADA Mao,JPN,198.22,16,55.51,3,142.71,2014-02-23,owg2014
7,WAGNER Ashley,USA,193.2,6,65.21,7,127.99,2014-02-23,owg2014
8,SUZUKI Akiko,JPN,186.32,8,60.97,8,125.35,2014-02-23,owg2014
9,EDMUNDS Polina,USA,183.25,7,61.04,9,122.21,2014-02-23,owg2014
10,MEITE Mae Berenice,FRA,174.53,9,58.63,11,115.9,2014-02-23,owg2014
11,MARCHEI Valentina,ITA,173.33,12,57.02,10,116.31,2014-02-23,owg2014
12,MURAKAMI Kanako,JPN,170.98,15,55.6,12,115.38,2014-02-23,owg2014
13,OSMOND Kaetlyn,CAN,168.98,13,56.18,13,112.8,2014-02-23,owg2014
14,LI Zijun,CHN,168.3,11,57.55,14,110.75,2014-02-23,owg2014
15,ZHANG Kexin,CHN,154.21,14,55.8,15,98.41,2014-02-23,owg2014
16,KIM Haejin,KOR,149.48,18,54.37,17,95.11,2014-02-23,owg2014
17,DALEMAN Gabrielle,CAN,148.44,19,52.61,16,95.83,2014-02-23,owg2014
18,WEINZIERL Nathalie,GER,147.36,10,57.63,21,89.73,2014-02-23,owg2014
19,GEDEVANISHVILI Elene,GEO,147.15,17,54.7,20,92.45,2014-02-23,owg2014
20,HAN Brooklee,AUS,143.84,22,49.32,18,94.52,2014-02-23,owg2014
21,PARK So Youn,KOR,142.97,23,49.14,19,93.83,2014-02-23,owg2014
22,UKOLOVA Elizaveta,CZE,136.42,20,51.87,23,84.55,2014-02-23,owg2014
23,GJERSEM Anne Line,NOR,134.54,24,48.56,22,85.98,2014-02-23,owg2014
24,RAJICOVA Nicole,SVK,125.0,21,49.8,24,75.2,2014-02-23,owg2014
25,McCORKELL Jenna,GBR,48.34,25,48.34,DNQ,DNQ,2014-02-23,owg2014
26,FRANK Kerstin,AUT,48.0,26,48.0,DNQ,DNQ,2014-02-23,owg2014
27,HELGESSON Viktoria,SWE,47.84,27,47.84,DNQ,DNQ,2014-02-23,owg2014
28,POPOVA Natalia,UKR,47.42,28,47.42,DNQ,DNQ,2014-02-23,owg2014
29,GLEBOVA Elena,EST,46.19,29,46.19,DNQ,DNQ,2014-02-23,owg2014
30,WILLIAMS Isadora,BRA,40.37,30,40.37,DNQ,DNQ,2014-02-23,owg2014
