Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,DAVIS Meryl / WHITE Charlie,USA,195.52,1,78.89,1,116.63,2014-02-23,owg2014
2,VIRTUE Tessa / MOIR Scott,CAN,190.99,2,76.33,2,114.66,2014-02-23,owg2014
3,ILINYKH Elena / KATSALAPOV Nikita,RUS,183.48,3,73.04,3,110.44,2014-02-23,owg2014
4,PECHALAT Nathalie / BOURZAT Fabian,FRA,177.22,4,72.78,4,104.44,2014-02-23,owg2014
5,BOBROVA Ekaterina / SOLOVIEV Dmitri,RUS,172.92,5,69.97,6,102.95,2014-02-23,owg2014
6,CAPPELLINI Anna / LANOTTE Luca,ITA,169.5,6,67.58,7,101.92,2014-02-23,owg2014
7,WEAVER Kaitlyn / POJE Andrew,CAN,169.11,7,65.93,5,103.18,2014-02-23,owg2014
8,CHOCK Madison / BATES Evan,USA,164.64,8,65.46,8,99.18,2014-02-23,owg2014
9,SHIBUTANI Maia / SHIBUTANI Alex,USA,155.17,9,64.47,10,90.7,2014-02-23,owg2014
10,COOMES Penny / BUCKLAND Nicholas,GBR,151.11,11,59.33,9,91.78,2014-02-23,owg2014
11,ZHIGANSHINA Nelli / GAZSI Alexander,GER,150.77,10,60.91,12,89.86,2014-02-23,owg2014
12,ZLOBINA Julia / SITNIKOV Alexei,AZE,148.63,14,58.15,11,90.48,2014-02-23,owg2014
13,HURTADO Sara / DIAZ Adria,ESP,146.97,12,58.58,13,88.39,2014-02-23,owg2014
14,GUIGNARD Charlene / FABBRI Marco,ITA,144.78,15,58.14,14,86.64,2014-02-23,owg2014
15,CARRON Pernelle / JONES Lloyd,FRA,142.87,13,58.25,15,84.62,2014-02-23,owg2014
16,SINITSINA V / ZHIGANSHIN R,RUS,140.66,16,58.01,17,82.65,2014-02-23,owg2014
17,TOBIAS I / STAGNIUNAS D,LTU,139.0,17,56.4,18,82.6,2014-02-23,owg2014
18,PAUL Alexandra / ISLAM Mitchell,CAN,138.7,18,55.91,16,82.79,2014-02-23,owg2014
19,KOLBE Tanja / CARUSO Stefano,GER,130.56,19,54.43,19,76.13,2014-02-23,owg2014
20,OBRIEN Danielle / MERRIMAN Gregory,AUS,128.53,20,52.68,20,75.85,2014-02-23,owg2014
21,REED Cathy / REED Chris,JPN,52.29,21,52.29,DNQ,DNQ,2014-02-23,owg2014
22,AGAFONOVA Alisa / UCAR Alper,TUR,49.84,22,49.84,DNQ,DNQ,2014-02-23,owg2014
23,HUANG Xintong / ZHENG Xun,CHN,48.96,23,48.96,DNQ,DNQ,2014-02-23,owg2014
24,HEEKIN-CANEDY Siobhan / DUN Dmitri,UKR,41.9,24,41.9,DNQ,DNQ,2014-02-23,owg2014
