Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Javier FERNANDEZ,ESP,271.43,2,86.99,1,184.44,2015-11-22,gprus2015
2,Adian PITKEEV,RUS,250.47,1,87.54,5,162.93,2015-11-22,gprus2015
3,Ross MINER,USA,248.92,3,85.36,4,163.56,2015-11-22,gprus2015
4,Adam RIPPON,USA,248.63,6,78.77,2,169.86,2015-11-22,gprus2015
5,Mikhail KOLYADA,RUS,247.97,5,79.64,3,168.33,2015-11-22,gprus2015
6,Sergei VORONOV,RUS,244.6,4,84.17,7,160.43,2015-11-22,gprus2015
7,Nam NGUYEN,CAN,231.67,7,70.78,6,160.89,2015-11-22,gprus2015
8,Ivan RIGHINI,ITA,204.16,9,68.9,8,135.26,2015-11-22,gprus2015
9,Takahiko KOZUKA,JPN,195.48,8,69.61,9,125.87,2015-11-22,gprus2015
10,Alexei BYCHENKO,ISR,186,10,67.46,10,118.54,2015-11-22,gprus2015
WD,Peter LIEBERS,GER,WD,WD,WD,WD,WD,2015-11-22,gprus2015
