Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Oksana DOMNINA / Maxim SHABALIN,RUS,205.24,1,40.05,1,63.2,1,101.99,2007-11-25,gprus07
2,Nathalie PECHALAT / Fabian BOURZAT,FRA,184.38,2,34.87,2,58.03,2,91.48,2007-11-25,gprus07
3,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,161.64,5,29.28,5,50.76,4,81.6,2007-11-25,gprus07
4,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,161.51,3,30.22,3,52.44,6,78.85,2007-11-25,gprus07
5,Katherine COPELY / Deividas STAGNIUNAS,LTU,161.36,6,27.68,4,50.83,3,82.85,2007-11-25,gprus07
6,Anastasia GREBENKINA / Vazgen AZROJAN,ARM,160.72,4,30.04,6,49.33,5,81.35,2007-11-25,gprus07
7,Ekaterina RUBLEVA / Ivan SHEFER,RUS,151.13,8,26.7,7,47.7,7,76.73,2007-11-25,gprus07
8,Nelli ZHIGANSHINA / Alexander GAZSI,GER,143.69,7,27.08,8,45.73,9,70.88,2007-11-25,gprus07
9,Kamila HAJKOVA / David VINCOUR,CZE,139.14,9,23.35,9,44.5,8,71.29,2007-11-25,gprus07
10,Lynn KRIENGKRAIRUT / Logan GIULIETTI-SCHMITT,USA,131.82,10,22.03,10,41.3,10,68.49,2007-11-25,gprus07
