Cup of Russia,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
NOC,,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
Code,,,Score Score,,,Score (factored),
Skating Skills  2.00 7.75 7.00 7.50,,7.25,8.25 7.50 7.50 7.50,,8.00,8.00 - -,7.65
Transition / Linking Footwork  2.00 7.50 7.00 7.25,,7.25,8.00 7.00 7.25 7.25,,7.50,8.25 - -,7.30
Performance / Execution  2.00 8.00 7.75 7.50,,7.50,8.25 7.00 8.25 7.50,,8.00,8.50 - -,7.90
Choreography / Composition  2.00 7.50 7.75 7.75,,7.50,8.25 7.75 8.00 7.25,,8.25,8.50 - -,7.90
Interpretation  2.00 7.75 7.50 8.00,,7.75,8.50 7.75 8.25 7.75,,8.25,8.50 - -,8.00
Judges Total Program Component Score (factored),,,,,,,77.50
Deductions: Falls: -1.00,,,,,,,-1.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
Cup of Russia,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
NOC,,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
Code,,,Score Score,,,Score (factored),
"",,,= +,,,+,-
3 Jeffrey BUTTLE CAN,,,136.61  66.21,,,71.40,1.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3A  7.50  0.00 0 0 0,,0,0 0 0 0,,0,-1 - -,7.50
2 3S+2T+2Lo  7.30  0.60 1 0 1,,1,1 1 1 1,,0,0 - -,7.90
3 CUSp4  3.00  0.40 0 1 1,,0,1 2 1 1,,0,1 - -,3.40
4 3F  5.50  1.00 1 1 1,,1,1 0 2 1,,1,1 - -,6.50
5 FSSp4  3.00  0.60 2 2 1,,1,1 1 1 1,,0,1 - -,3.60
6 CiSt3  3.10  0.50 1 1 1,,1,1 1 1 1,,1,1 - -,3.60
7 3Lz+2T  8.03 x  0.20 1 0 0,,0,1 0 1 0,,0,0 - -,8.23
8 3A+SEQ  6.60 x -3.00 -3 -3 -3,,-3,-3 -3 -3 -3,,-3,-3 - -,3.60
9 3Lo  5.50 x  0.00 0 0 0,,0,0 -1 0 0,,0,0 - -,5.50
10 SlSt2  2.30  0.80 1 2 2,,1,1 2 2 1,,0,1 - -,3.10
11 1A  0.88 x  0.00 0 0 0,,0,0 0 0 0,,0,0 - -,0.88
12 3Lz  6.60 x -0.80 -1 -1 -1,,-1,0 -2 -1 0,,0,0 - -,5.80
13 CoSp3  2.50  0.30 1 0 1,,1,0 0 1 0,,0,1 - -,2.80
14 CCoSp3  3.00  0.80 2 2 2,,2,1 2 1 1,,0,1 - -,3.80
64.81,,,,,,,66.21
Program Components Factor,,,,,,,
