8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Nathalie PECHALAT / Fabian BOURZAT,FRA,8,100.58,48.83,52.75,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,RoLi4,,4.0,False,1.0,2,2,2,2,2,2,2,2,,5.0
2,DiSt3,,6.5,False,1.67,2,1,1,2,2,2,2,1,,8.17
3,CuLi4,,4.0,False,0.83,3,1,1,2,2,2,1,2,,4.83
4,STw4,,6.0,False,0.25,0,1,1,0,1,2,0,0,,6.25
5,SlLi4,,4.0,False,1.17,2,2,2,3,3,2,3,2,,5.17
6,CiSt3,,6.5,False,1.33,1,0,2,2,2,1,1,1,,7.83
7,CoSp4,,5.0,False,0.75,2,1,1,1,1,2,2,2,,5.75
8,CuLi4,,4.0,False,1.0,2,2,2,1,2,3,2,2,,5.0
9,ChLi1,,0.2,False,0.63,1,0,1,2,2,2,2,2,,0.83
,,,40.2,,,,,,,,,,,,48.83
,Program Components,,,,Factor
,Skating Skills  ,,,,1.25,8.75,8.75,8.5,9.0,8.5,8.75,9.0,8.5,,8.71
,Linking Footwork / Movement  ,,,,1.75,8.5,8.5,8.5,9.25,8.5,8.75,8.5,8.75,,8.58
,Performance  ,,,,1.0,9.0,8.5,8.75,10.0,9.0,9.25,8.75,8.5,,8.88
,Choreography  ,,,,1.0,8.75,8.75,9.0,9.5,8.75,9.25,8.75,9.0,,8.92
,Interpretation / Timing  ,,,,1.0,9.0,8.5,9.25,9.75,9.25,9.0,8.75,9.0,,9.04
,,,,,,,,,,,,,,,52.75
Deduction,Extended lifts,-1.0
