Rank,Name,Nation,Points,Short Rank,Short Score,Date,Event
1,Madison HUBBELL / Zachary DONOHUE,USA,64.45,1,64.45,2015-11-15,gpfra2015
2,Piper GILLES / Paul POIRIER,CAN,63.94,2,63.94,2015-11-15,gpfra2015
3,Alexandra STEPANOVA / Ivan BUKIN,RUS,60.64,3,60.64,2015-11-15,gpfra2015
4,Penny COOMES / Nicholas BUCKLAND,GBR,58.34,4,58.34,2015-11-15,gpfra2015
5,Laurence FOURNIER BEAUDRY / Nikolaj SORENSEN,DEN,54.72,5,54.72,2015-11-15,gpfra2015
6,Anna YANOVSKAYA / Sergey MOZGOV,RUS,52.88,6,52.88,2015-11-15,gpfra2015
7,Alisa AGAFONOVA / Alper UCAR,TUR,47.64,7,47.64,2015-11-15,gpfra2015
