Rank,Name,Nation,Points,Short Rank,Short Score,Date,Event
1,Tatiana VOLOSOZHAR / Maxim TRANKOV,RUS,74.5,1,74.5,2015-11-15,gpfra2015
2,Vanessa JAMES / Morgan CIPRES,FRA,65.75,2,65.75,2015-11-15,gpfra2015
3,Julianne SEGUIN / Charlie BILODEAU,CAN,64.95,3,64.95,2015-11-15,gpfra2015
4,Cheng PENG / Hao ZHANG,CHN,64.1,4,64.1,2015-11-15,gpfra2015
5,Nicole DELLA MONICA / Matteo GUARISE,ITA,64.08,5,64.08,2015-11-15,gpfra2015
6,Marissa CASTELLI / Mervin TRAN,USA,62.63,6,62.63,2015-11-15,gpfra2015
7,Evgenia TARASOVA / Vladimir MOROZOV,RUS,62.32,7,62.32,2015-11-15,gpfra2015
8,Miriam ZIEGLER / Severin KIEFER,AUT,50.56,8,50.56,2015-11-15,gpfra2015
