Rank,Name,Nation,Points,Short Rank,Short Score,Date,Event
1,Gracie GOLD,USA,73.32,1,73.32,2015-11-15,gpfra2015
2,Julia LIPNITSKAIA,RUS,65.63,2,65.63,2015-11-15,gpfra2015
3,Roberta RODEGHIERO,ITA,58.81,3,58.81,2015-11-15,gpfra2015
4,Kanako MURAKAMI,JPN,58.3,4,58.3,2015-11-15,gpfra2015
5,Elizaveta TUKTAMYSHEVA,RUS,56.21,5,56.21,2015-11-15,gpfra2015
6,Gabrielle DALEMAN,CAN,55.35,6,55.35,2015-11-15,gpfra2015
7,Angelina KUCHVALSKA,LAT,53.68,7,53.68,2015-11-15,gpfra2015
8,Angela WANG,USA,53.6,8,53.6,2015-11-15,gpfra2015
9,Haruka IMAI,JPN,47.87,9,47.87,2015-11-15,gpfra2015
10,Brooklee HAN,AUS,47.65,10,47.65,2015-11-15,gpfra2015
11,Mae Berenice MEITE,FRA,46.82,11,46.82,2015-11-15,gpfra2015
12,Laurine LECAVELIER,FRA,46.53,12,46.53,2015-11-15,gpfra2015
