Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,fc2018,2018-01-27,Boyang JIN,CHN,300.95,2,100.17,1,200.78
2,fc2018,2018-01-27,Shoma UNO,JPN,297.94,1,100.49,2,197.45
3,fc2018,2018-01-27,Jason BROWN,USA,269.22,4,89.78,3,179.44
4,fc2018,2018-01-27,Keiji TANAKA,JPN,260.31,3,90.68,5,169.63
5,fc2018,2018-01-27,Max AARON,USA,255.45000000000002,6,84.15,4,171.3
6,fc2018,2018-01-27,Misha GE,UZB,248.95999999999998,8,82.27,7,166.69
7,fc2018,2018-01-27,Kevin REYNOLDS,CAN,241.5,13,74.65,6,166.85
8,fc2018,2018-01-27,Elladj BALDE,CAN,238.2,12,75.17,8,163.03
9,fc2018,2018-01-27,Nam NGUYEN,CAN,237.52,7,84.09,10,153.43
10,fc2018,2018-01-27,Han YAN,CHN,227.93,5,84.74,12,143.19
11,fc2018,2018-01-27,Grant HOCHSTEIN,USA,226.39,15,70.8,9,155.59
12,fc2018,2018-01-27,Takahito MURA,JPN,225.41,10,76.66,11,148.75
13,fc2018,2018-01-27,Brendan KERRY,AUS,219.95,9,79.57,14,140.38
14,fc2018,2018-01-27,June Hyoung LEE,KOR,211.86,16,69.93,13,141.93
15,fc2018,2018-01-27,Denis TEN,KAZ,210.82,11,75.3,15,135.52
16,fc2018,2018-01-27,Julian Zhi Jie YEE,MAS,197.68,17,68.45,16,129.23
17,fc2018,2018-01-27,Chih-I TSAO,TPE,195.20999999999998,14,72.57,19,122.64
18,fc2018,2018-01-27,Donovan CARRILLO,MEX,185.91,22,59.07,17,126.84
19,fc2018,2018-01-27,He ZHANG,CHN,184.82,19,63.62,20,121.2
20,fc2018,2018-01-27,Geon Hyeong AN,KOR,180.26,23,56.67,18,123.59
21,fc2018,2018-01-27,Andrew DODDS,AUS,177.81,18,63.69,23,114.12
22,fc2018,2018-01-27,Sihyeong LEE,KOR,177.07,20,62.65,22,114.42
23,fc2018,2018-01-27,Abzal RAKIMGALIEV,KAZ,175.58,21,60.77,21,114.81
24,fc2018,2018-01-27,Leslie Man Cheuk IP,HKG,150.23000000000002,24,53.8,24,96.43
25,fc2018,2018-01-27,Micah Kai LYNETTE,THA,53.29,25,53.29,DNQ,DNQ
26,fc2018,2018-01-27,Harrison J-Ye WONG,HKG,52.78,26,52.78,DNQ,DNQ
27,fc2018,2018-01-27,Kai Xiang CHEW,MAS,50.92,27,50.92,DNQ,DNQ
28,fc2018,2018-01-27,Mark WEBSTER,AUS,49.45,28,49.45,DNQ,DNQ
29,fc2018,2018-01-27,Harry Hau Yin LEE,HKG,43.98,29,43.98,DNQ,DNQ
30,fc2018,2018-01-27,Micah TANG,TPE,43.05,30,43.05,DNQ,DNQ
