Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,fc2018,2018-01-27,Kaori SAKAMOTO,JPN,214.21,2,71.34,1,142.87
2,fc2018,2018-01-27,Mai MIHARA,JPN,210.57,3,69.84,2,140.73
3,fc2018,2018-01-27,Satoko MIYAHARA,JPN,207.01999999999998,1,71.74,3,135.28
4,fc2018,2018-01-27,Dabin CHOI,KOR,190.23000000000002,5,62.3,4,127.93
5,fc2018,2018-01-27,Mariah BELL,USA,185.84,4,62.9,5,122.94
6,fc2018,2018-01-27,Hanul KIM,KOR,173.1,6,61.15,8,111.95
7,fc2018,2018-01-27,Starr ANDREWS,USA,172.65,7,60.61,7,112.04
8,fc2018,2018-01-27,Alaine CHARTRAND,CAN,172.41,8,59.86,6,112.55
9,fc2018,2018-01-27,Angela WANG,USA,161.04,9,58.97,11,102.07
10,fc2018,2018-01-27,Xiangning LI,CHN,160.4,10,57.01,10,103.39
11,fc2018,2018-01-27,Soyoun PARK,KOR,159.48000000000002,12,53.05,9,106.43
12,fc2018,2018-01-27,Elizabet TURSYNBAEVA,KAZ,156.19,11,56.52,13,99.67
13,fc2018,2018-01-27,Alicia PINEAULT,CAN,152.81,14,51.53,12,101.28
14,fc2018,2018-01-27,Brooklee HAN,AUS,150.65,13,52.29,14,98.36
15,fc2018,2018-01-27,Michelle LONG,CAN,147.5,17,49.77,15,97.73
16,fc2018,2018-01-27,Kailani CRAINE,AUS,141.04,16,50.79,16,90.25
17,fc2018,2018-01-27,Ziquan ZHAO,CHN,139.01,18,48.78,17,90.23
18,fc2018,2018-01-27,Amy LIN,TPE,137.4,15,51.14,18,86.26
19,fc2018,2018-01-27,Chloe ING,SGP,129.7,19,45.3,20,84.4
20,fc2018,2018-01-27,Aiza MAMBEKOVA,KAZ,121.0,20,36.47,19,84.53
21,fc2018,2018-01-27,Joanna SO,HKG,107.69,21,35.51,21,72.18
22,fc2018,2018-01-27,Natalie SANGKAGALO,THA,93.61,22,33.5,22,60.11
23,fc2018,2018-01-27,Thita LAMSAM,THA,79.33,23,28.26,23,51.07
