Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,fc2018,2018-01-27,Tarah KAYNE / Danny O'SHEA,USA,194.42000000000002,3,65.74,1,128.68
2,fc2018,2018-01-27,Ashley CAIN / Timothy LEDUC,USA,190.61,1,66.76,2,123.85
3,fc2018,2018-01-27,Tae Ok RYOM / Ju Sik KIM,PRK,184.98000000000002,4,65.25,3,119.73
4,fc2018,2018-01-27,Liubov ILYUSHECHKINA / Dylan MOSCOVITCH,CAN,179.0,5,64.5,5,114.5
5,fc2018,2018-01-27,Deanna STELLATO / Nathan BARTHOLOMAY,USA,178.38,6,60.93,4,117.45
6,fc2018,2018-01-27,Ekaterina ALEXANDROVSKAYA / Harley WINDSOR,AUS,178.10000000000002,2,66.45,6,111.65
7,fc2018,2018-01-27,Camille RUEST / Andrew WOLFE,CAN,159.73000000000002,9,54.7,7,105.03
8,fc2018,2018-01-27,Miu SUZAKI / Ryuichi KIHARA,JPN,157.26999999999998,7,56.95,8,100.32
9,fc2018,2018-01-27,Sydney KOLODZIEJ / Maxime DESCHAMPS,CAN,153.57,8,56.18,9,97.39
10,fc2018,2018-01-27,Riku MIURA / Shoya ICHIHASHI,JPN,126.19,10,44.25,10,81.94
