Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,fc2018,2018-01-27,Kaitlin HAWAYEK / Jea-Luc BAKER,USA,174.29,1,69.08,1,105.21
2,fc2018,2018-01-27,Carolane SOUCISSE / Shane FIRUS,CAN,164.95999999999998,3,65.11,2,99.85
3,fc2018,2018-01-27,Kana MURAMOTO / Chris REED,JPN,163.86,2,65.27,3,98.59
4,fc2018,2018-01-27,Lorraine MCNAMARA / Quinn CARPENTER,USA,160.12,4,62.83,4,97.29
5,fc2018,2018-01-27,Shiyue WANG / Xinyu LIU,CHN,158.20999999999998,5,62.36,5,95.85
6,fc2018,2018-01-27,Rachel PARSONS / Michael PARSONS,USA,155.3,6,60.18,6,95.12
7,fc2018,2018-01-27,Yura MIN / Alexander GAMELIN,KOR,151.38,7,60.11,7,91.27
8,fc2018,2018-01-27,Sarah ARNOLD / Thomas WILLIAMS,CAN,140.1,9,52.5,8,87.6
9,fc2018,2018-01-27,Haley SALES / Nikolas WAMSTEEKER,CAN,139.48,8,57.21,10,82.27
10,fc2018,2018-01-27,Misato KOMATSUBARA / Tim KOLETO,JPN,138.18,10,52.45,9,85.73
11,fc2018,2018-01-27,Rikako FUKASE / Aru TATENO,JPN,124.02000000000001,12,47.15,11,76.87
12,fc2018,2018-01-27,Linshu SONG / Zhuoming SUN,CHN,122.53,11,50.34,12,72.19
13,fc2018,2018-01-27,Chantelle KERRY / Andrew DODDS,AUS,115.62,13,45.42,13,70.2
14,fc2018,2018-01-27,Matilda FRIEND / William BADAOUI,AUS,92.05000000000001,14,33.09,14,58.96
