Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpusa2017,2017-11-26,Nathan CHEN,USA,275.88,1,104.12,2,171.76
2,gpusa2017,2017-11-26,Adam RIPPON,USA,266.45,2,89.04,1,177.41
3,gpusa2017,2017-11-26,Sergei VORONOV,RUS,257.49,3,87.51,3,169.98
4,gpusa2017,2017-11-26,Boyang JIN,CHN,246.03,6,77.97,4,168.06
5,gpusa2017,2017-11-26,Han YAN,CHN,228.33,4,85.97,7,142.36
6,gpusa2017,2017-11-26,Ross MINER,USA,219.62,8,71.59,5,148.03
7,gpusa2017,2017-11-26,Takahito MURA,JPN,212.76999999999998,7,75.05,8,137.72
8,gpusa2017,2017-11-26,Liam FIRUS,CAN,210.82999999999998,11,65.17,6,145.66
9,gpusa2017,2017-11-26,Kevin REYNOLDS,CAN,204.04999999999998,10,69.1,9,134.95
10,gpusa2017,2017-11-26,Roman SADOVSKY,CAN,200.1,9,70.85,10,129.25
11,gpusa2017,2017-11-26,Daniel SAMOHIN,ISR,82.28,5,82.28,DNQ,DNQ
12,gpusa2017,2017-11-26,Maxim KOVTUN,RUS,64.98,12,64.98,DNQ,DNQ
