Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpusa2017,2017-11-26,Satoko MIYAHARA,JPN,214.03,1,70.72,1,143.31
2,gpusa2017,2017-11-26,Kaori SAKAMOTO,JPN,210.59,2,69.4,2,141.19
3,gpusa2017,2017-11-26,Bradie TENNELL,USA,204.10000000000002,4,67.01,3,137.09
4,gpusa2017,2017-11-26,Polina TSURSKAYA,RUS,195.56,8,63.2,4,132.36
5,gpusa2017,2017-11-26,Serafima SAKHANOVICH,RUS,189.75,5,66.28,5,123.47
6,gpusa2017,2017-11-26,Gabrielle DALEMAN,CAN,189.14,3,68.08,8,121.06
7,gpusa2017,2017-11-26,Alena LEONOVA,RUS,185.93,7,63.91,7,122.02
8,gpusa2017,2017-11-26,Karen CHEN,USA,182.8,9,59.53,6,123.27
9,gpusa2017,2017-11-26,Nicole RAJICOVA,SVK,167.61,10,55.43,9,112.18
10,gpusa2017,2017-11-26,Xiangning LI,CHN,164.32,11,55.24,10,109.08
11,gpusa2017,2017-11-26,Ashley WAGNER,USA,64.12,6,64.12,DNQ,DNQ
