Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Oksana DOMNINA / Maxim SHABALIN,RUS,207.14,2,40.25,2,61.9,1,104.99,2008-01-27,ec2008
2,Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,205.92,1,41.25,1,62.72,2,101.95,2008-01-27,ec2008
3,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,197.06,3,37.37,3,60.03,3,99.66,2008-01-27,ec2008
4,Federica FAIELLA / Massimo SCALI,ITA,190.95,4,36.87,4,58.79,4,95.29,2008-01-27,ec2008
5,Nathalie PECHALAT / Fabian BOURZAT,FRA,185.26,5,34.58,6,56.97,5,93.71,2008-01-27,ec2008
6,Sinead KERR / John KERR,GBR,182.06,6,33.55,5,58.54,6,89.97,2008-01-27,ec2008
7,Anna CAPPELLINI / Luca LANOTTE,ITA,172.64,10,30.97,7,54.07,7,87.6,2008-01-27,ec2008
8,Alexandra ZARETSKI / Roman ZARETSKI,ISR,171.7,7,33.12,9,53.31,9,85.27,2008-01-27,ec2008
9,Pernelle CARRON / Mathieu JOST,FRA,170.62,11,30.15,8,53.52,8,86.95,2008-01-27,ec2008
10,Kristin FRASER / Igor LUKANIN,AZE,168.87,8,33.02,10,52.07,10,83.78,2008-01-27,ec2008
11,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,165.11,9,31.28,12,50.86,11,82.97,2008-01-27,ec2008
12,Katherine COPELY / Deividas STAGNIUNAS,LTU,158.98,14,28.81,11,51.29,12,78.88,2008-01-27,ec2008
13,Ekaterina RUBLEVA / Ivan SHEFER,RUS,156.59,12,29.18,13,49.69,13,77.72,2008-01-27,ec2008
14,Alla BEKNAZAROVA / Vladimir ZUEV,UKR,154.02,13,28.9,14,47.92,15,77.2,2008-01-27,ec2008
15,Christina BEIER / William BEIER,GER,150.57,16,25.97,15,47.1,14,77.5,2008-01-27,ec2008
16,Barbora SILNA / Dmitri MATSJUK,AUT,142.58,15,26.44,17,44.79,16,71.35,2008-01-27,ec2008
17,Kamila HAJKOVA / David VINCOUR,CZE,141.32,18,24.88,16,45.92,17,70.52,2008-01-27,ec2008
18,Phillipa TOWLER-GREEN / Phillip POOLE,GBR,135.63,19,24.27,18,42.8,18,68.56,2008-01-27,ec2008
19,Joanna BUDNER / Jan MOSCICKI,POL,132.05,20,22.47,19,42.3,19,67.28,2008-01-27,ec2008
20,Leonie KRAIL / Oscar PETER,SUI,127.61,21,21.5,21,40.13,20,65.98,2008-01-27,ec2008
21,Krisztina BARTA / Adam TOTH,HUN,126.23,22,21.17,20,40.41,21,64.65,2008-01-27,ec2008
22,Ksenia SHMIRINA / Egor MAISTROV,BLR,116.63,23,20.25,22,35.36,22,61.02,2008-01-27,ec2008
23,Kristina KIUDMAA / Aleksei TROHLEV,EST,99.06,25,15.26,24,32.08,23,51.72,2008-01-27,ec2008
WD,Ina DEMIREVA / Juri KURAKIN,BUL,51.91,24,17.31,23,34.6,WD,WD,2008-01-27,ec2008
25,Nadine AHMED / Bruce PORTER,AZE,42.89,26,15.15,25,27.74,DNQ,DNQ,2008-01-27,ec2008
WD,Anastasia GREBENKINA / Vazgen AZROJAN,ARM,25.41,17,25.41,WD,WD,WD,WD,2008-01-27,ec2008
