Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Brian JOUBERT,FRA,213.62,1,78.05,2,135.57,2007-11-04,gpcan07
2,Kevin VAN DER PERREN,BEL,202.55,5,66.11,1,136.44,2007-11-04,gpcan07
3,Jeffrey BUTTLE,CAN,198.77,3,66.85,3,131.92,2007-11-04,gpcan07
4,Christopher MABEE,CAN,192.2,4,66.5,5,125.7,2007-11-04,gpcan07
5,Vaughn CHIPEUR,CAN,187.41,6,65.65,6,121.76,2007-11-04,gpcan07
6,Yannick PONSERO,FRA,178.18,2,67.09,10,111.09,2007-11-04,gpcan07
7,Pavel KASKA,CZE,172.9,7,57.43,8,115.47,2007-11-04,gpcan07
8,Jeremy ABBOTT,USA,171.06,11,44.75,4,126.31,2007-11-04,gpcan07
9,Scott SMITH,USA,169.97,8,56.09,9,113.88,2007-11-04,gpcan07
10,Jamal OTHMAN,SUI,166.96,9,51.11,7,115.85,2007-11-04,gpcan07
11,Jialiang WU,CHN,153.45,10,47.51,11,105.94,2007-11-04,gpcan07
12,Geoffry VARNER,USA,134.54,12,42.45,12,92.09,2007-11-04,gpcan07
