Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Tessa VIRTUE / Scott MOIR,CAN,197.07,1,36.25,1,61.2,1,99.62,2007-11-04,gpcan07
2,Anna CAPPELLINI / Luca LANOTTE,ITA,171.57,2,32.23,2,53.9,3,85.44,2007-11-04,gpcan07
3,Pernelle CARRON / Mathieu JOST,FRA,167.83,4,28.27,3,52.43,2,87.13,2007-11-04,gpcan07
4,Allie HANN-McCURDY / Michael CORENO,CAN,152.16,7,25.51,6,47.75,4,78.9,2007-11-04,gpcan07
5,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,151.97,6,25.72,4,49.53,6,76.72,2007-11-04,gpcan07
6,Kaitlyn WEAVER / Andrew POJE,CAN,148.77,8,25.07,8,45.74,5,77.96,2007-11-04,gpcan07
7,Nelli ZHIGANSHINA / Alexander GAZSI,GER,140.64,9,24.44,7,46.58,8,69.62,2007-11-04,gpcan07
8,Carolina HERMANN / Daniel HERMANN,GER,136.11,10,22.46,9,43.0,7,70.65,2007-11-04,gpcan07
9,Julia ZLOBINA / Alexei SITNIKOV,RUS,132.05,5,26.75,10,36.39,9,68.91,2007-11-04,gpcan07
WD,Melissa GREGORY / Denis PETUKHOV,USA,79.83,3,32.03,5,47.8,WD,WD,2007-11-04,gpcan07
