11
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
7,Lauren SENFT / Leif GISLASON,CAN,0,73.35,42.55,32.8,2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,Ref,Scores of Panel
1,SlLi4,,4.0,False,0.67,1,2,1,2,1,1,1,2,2,1,1,,4.67
2,STw3,,4.0,False,-0.08,0,0,0,-1,0,0,0,1,0,-1,0,,3.92
3,Sp4,,4.7,False,0.25,1,0,0,1,1,0,0,0,1,0,0,,4.95
4,CiSt3,,7.2,False,0.17,0,-1,0,0,0,1,0,1,0,0,0,,7.37
5,SeLi4,,6.4,False,0.33,0,-1,1,0,1,1,1,1,1,0,1,,6.73
6,DiSt3,,6.2,False,0.0,0,-1,0,0,0,0,0,0,0,-1,0,,6.2
7,CuLi4+RoLi4,,6.4,False,0.33,1,-1,0,0,1,0,1,1,2,0,0,,6.73
8,RoLi2,,3.0,False,-1.02,-2,-2,-2,-2,-2,-3,-3,-1,-1,-3,-2,,1.98
,,,41.9,,,,,,,,,,,,,,,42.55
,Program Components,,,,Factor
,Skating Skills  ,,,,1.25,5.5,5.5,5.75,5.75,6.0,5.5,5.25,5.25,6.25,5.25,5.75,,5.54
,Linking Footwork / Movement  ,,,,1.75,5.25,5.75,5.75,5.5,5.75,5.5,5.0,5.0,5.75,5.0,5.5,,5.33
,Performance  ,,,,1.0,5.75,5.0,6.0,5.5,6.0,5.0,5.5,5.0,6.0,5.0,5.75,,5.46
,Choreography  ,,,,1.0,5.75,5.75,6.0,5.75,5.75,5.5,5.5,5.25,6.0,5.25,6.0,,5.58
,Interpretation / Timing  ,,,,1.0,5.5,5.5,5.75,5.75,5.75,5.0,5.5,5.0,6.25,5.5,5.75,,5.5
,,,,,,,,,,,,,,,,,,32.8
Deduction,Extended lifts,-1.0
Deduction,Falls,-1.0
