Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Evgeni PLUSHENKO,RUS,245.33,1,82.8,1,162.53,2006-01-22,ec2006
2,Stephane LAMBIEL,SUI,228.87,3,74.73,2,154.14,2006-01-22,ec2006
3,Brian JOUBERT,FRA,222.95,2,77.85,3,145.1,2006-01-22,ec2006
4,Frederic DAMBIER,FRA,200.16,4,71.21,5,128.95,2006-01-22,ec2006
5,Ilia KLIMKIN,RUS,197.42,8,64.1,4,133.32,2006-01-22,ec2006
6,Alban PREAUBERT,FRA,190.18,5,69.08,8,121.1,2006-01-22,ec2006
7,Kevin VAN DER PERREN,BEL,182.32,11,59.98,7,122.34,2006-01-22,ec2006
8,Silvio SMALUN,GER,181.73,9,63.88,9,117.85,2006-01-22,ec2006
9,Gheorghe CHIPER,ROM,181.51,6,66.46,11,115.05,2006-01-22,ec2006
10,Tomas VERNER,CZE,178.26,7,66.13,14,112.13,2006-01-22,ec2006
11,Ivan DINEV,BUL,177.18,16,54.3,6,122.88,2006-01-22,ec2006
12,Stefan LINDEMANN,GER,176.7,10,60.7,10,116.0,2006-01-22,ec2006
13,Sergei DAVYDOV,BLR,170.51,15,56.7,13,113.81,2006-01-22,ec2006
14,Kristoffer BERNTSSON,SWE,167.37,13,57.68,16,109.69,2006-01-22,ec2006
15,Sergei DOBRIN,RUS,165.63,14,57.1,17,108.53,2006-01-22,ec2006
16,Anton KOVALEVSKI,UKR,164.49,22,49.87,12,114.62,2006-01-22,ec2006
17,Gregor URBAS,SLO,162.95,18,52.99,15,109.96,2006-01-22,ec2006
18,Viktor PFEIFER,AUT,159.27,12,57.89,19,101.38,2006-01-22,ec2006
19,Karel ZELENKA,ITA,158.96,19,52.98,18,105.98,2006-01-22,ec2006
20,Adrian SCHULTHEISS,SWE,149.1,17,54.19,22,94.91,2006-01-22,ec2006
21,Jamal OTHMAN,SUI,148.85,23,49.37,20,99.48,2006-01-22,ec2006
22,Roman SEROV,ISR,148.1,21,50.05,21,98.05,2006-01-22,ec2006
23,Ari-Pekka NURMENKARI,FIN,137.11,20,51.14,23,85.97,2006-01-22,ec2006
24,Aidas REKLYS,LTU,128.51,24,46.12,24,82.39,2006-01-22,ec2006
25,John HAMER,GBR,45.99,25,45.99,DNQ,DNQ,2006-01-22,ec2006
26,Zoltan TOTH,HUN,44.93,26,44.93,DNQ,DNQ,2006-01-22,ec2006
27,Michael CHROLENKO,NOR,44.22,27,44.22,DNQ,DNQ,2006-01-22,ec2006
28,Przemyslaw DOMANSKI,POL,42.55,28,42.55,DNQ,DNQ,2006-01-22,ec2006
29,Trifun ZIVANOVIC,SCG,42.38,29,42.38,DNQ,DNQ,2006-01-22,ec2006
30,Igor MATSIPURA,SVK,42.0,30,42.0,DNQ,DNQ,2006-01-22,ec2006
31,Zeus ISSARIOTIS,GRE,38.53,31,38.53,DNQ,DNQ,2006-01-22,ec2006
32,Alper UCAR,TUR,36.38,32,36.38,DNQ,DNQ,2006-01-22,ec2006
33,Boris MARTINEC,CRO,35.05,33,35.05,DNQ,DNQ,2006-01-22,ec2006
34,Adrian MATEI,ROM,34.79,34,34.79,DNQ,DNQ,2006-01-22,ec2006
35,Yediel CANTON,ESP,34.52,35,34.52,DNQ,DNQ,2006-01-22,ec2006
