Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Tatiana NAVKA / Roman KOSTOMAROV,RUS,202.32,3,38.21,1,60.79,1,103.32,2006-01-22,ec2006
2,Elena GRUSHINA / Ruslan GONCHAROV,UKR,196.73,1,38.82,3,58.79,4,99.12,2006-01-22,ec2006
3,Margarita DROBIAZKO / Povilas VANAGAS,LTU,196.18,2,38.34,5,56.95,2,100.89,2006-01-22,ec2006
4,Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,194.49,4,35.66,2,59.02,3,99.81,2006-01-22,ec2006
5,Galit CHAIT / Sergei SAKHNOVSKI,ISR,188.91,5,34.79,4,57.03,5,97.09,2006-01-22,ec2006
6,Oksana DOMNINA / Maxim SHABALIN,RUS,175.72,7,32.69,6,53.31,6,89.72,2006-01-22,ec2006
7,Federica FAIELLA / Massimo SCALI,ITA,167.86,6,33.21,7,51.54,10,83.11,2006-01-22,ec2006
8,Sinead KERR / John KERR,GBR,167.19,8,31.96,9,51.0,7,84.23,2006-01-22,ec2006
9,Kristin FRASER / Igor LUKANIN,AZE,165.62,9,30.06,8,51.52,9,84.04,2006-01-22,ec2006
10,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,162.65,10,28.64,10,49.79,8,84.22,2006-01-22,ec2006
11,Nathalie PECHALAT / Fabian BOURZAT,FRA,156.46,11,28.63,11,47.61,11,80.22,2006-01-22,ec2006
12,Nora HOFFMANN / Attila ELEK,HUN,152.25,13,27.08,12,45.64,12,79.53,2006-01-22,ec2006
13,Christina BEIER / William BEIER,GER,151.04,12,28.62,13,45.41,13,77.01,2006-01-22,ec2006
14,Anastasia GREBENKINA / Vazgen AZROJAN,ARM,144.52,14,26.25,14,44.09,14,74.18,2006-01-22,ec2006
15,Alexandra ZARETSKI / Roman ZARETSKI,ISR,138.47,17,22.7,15,42.39,15,73.38,2006-01-22,ec2006
16,Alexandra KAUC / Michal ZYCH,POL,135.91,16,23.74,17,39.2,16,72.97,2006-01-22,ec2006
17,Julia GOLOVINA / Oleg VOIKO,UKR,135.87,15,24.53,16,41.42,17,69.92,2006-01-22,ec2006
18,Alessia AURELI / Andrea VATURI,ITA,128.07,19,20.89,18,39.12,18,68.06,2006-01-22,ec2006
19,Kamila HAJKOVA / David VINCOUR,CZE,127.77,18,22.31,20,37.7,19,67.76,2006-01-22,ec2006
20,Phillipa TOWLER-GREEN / Phillip POOLE,GBR,122.92,20,20.84,19,39.03,21,63.05,2006-01-22,ec2006
21,Zsuzsanna NAGY / György ELEK,HUN,118.89,21,18.91,21,35.4,20,64.58,2006-01-22,ec2006
22,Leonie KRAIL / Oscar PETER,SUI,109.94,22,17.8,22,33.92,22,58.22,2006-01-22,ec2006
