Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,194.14,1,39.51,1,60.1,2,94.53,2007-11-18,gpfra07
2,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,191.01,2,34.89,2,58.15,1,97.97,2007-11-18,gpfra07
3,Meryl DAVIS / Charlie WHITE,USA,176.21,4,31.74,3,55.25,3,89.22,2007-11-18,gpfra07
4,Anna CAPPELLINI / Luca LANOTTE,ITA,168.75,3,31.86,5,49.11,4,87.78,2007-11-18,gpfra07
5,Pernelle CARRON / Mathieu JOST,FRA,159.26,5,29.92,6,47.63,5,81.71,2007-11-18,gpfra07
6,Anastasia GREBENKINA / Vazgen AZROJAN,ARM,156.18,6,27.94,4,49.86,7,78.38,2007-11-18,gpfra07
7,Kaitlyn WEAVER / Andrew POJE,CAN,154.2,7,27.47,7,46.99,6,79.74,2007-11-18,gpfra07
8,Barbora SILNA / Dmitri MATSJUK,AUT,139.56,8,24.79,8,44.11,8,70.66,2007-11-18,gpfra07
9,Xiaoyang YU / Chen WANG,CHN,135.63,9,22.95,9,42.99,9,69.69,2007-11-18,gpfra07
10,Zoe BLANC / Pierre-Loup BOUQUET,FRA,126.1,10,21.77,10,38.59,10,65.74,2007-11-18,gpfra07
