Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Patrick CHAN,CAN,214.94,2,70.89,1,144.05,2007-11-18,gpfra07
2,Sergei VORONOV,RUS,208.91,4,68.7,2,140.21,2007-11-18,gpfra07
3,Alban PREAUBERT,FRA,207.1,1,72.7,3,134.4,2007-11-18,gpfra07
4,Kevin VAN DER PERREN,BEL,204.75,3,70.6,4,134.15,2007-11-18,gpfra07
5,Ryan BRADLEY,USA,191.32,7,59.13,5,132.19,2007-11-18,gpfra07
6,Tomas VERNER,CZE,189.37,8,57.23,6,132.14,2007-11-18,gpfra07
7,Kensuke NAKANIWA,JPN,177.61,5,62.7,7,114.91,2007-11-18,gpfra07
8,Christopher MABEE,CAN,175.17,6,61.68,8,113.49,2007-11-18,gpfra07
9,Scott SMITH,USA,151.25,9,56.36,11,94.89,2007-11-18,gpfra07
10,Jeremie COLOT,FRA,149.47,11,49.39,9,100.08,2007-11-18,gpfra07
11,Song GAO,CHN,146.19,10,50.55,10,95.64,2007-11-18,gpfra07
