Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Mao ASADA,JPN,179.8,1,56.9,1,122.9,2007-11-18,gpfra07
2,Kimmie MEISSNER,USA,158.74,2,55.98,3,102.76,2007-11-18,gpfra07
3,Ashley WAGNER,USA,158.63,5,50.48,2,108.15,2007-11-18,gpfra07
4,Sarah MEIER,SUI,147.15,4,53.98,5,93.17,2007-11-18,gpfra07
5,Mira LEUNG,CAN,144.57,7,43.78,4,100.79,2007-11-18,gpfra07
6,Elena GLEBOVA,EST,141.71,3,55.24,7,86.47,2007-11-18,gpfra07
7,Viktoria PAVUK,HUN,137.73,6,44.56,6,93.17,2007-11-18,gpfra07
8,Gwendoline DIDIER,FRA,120.14,10,36.82,8,83.32,2007-11-18,gpfra07
9,Valentina MARCHEI,ITA,118.99,8,43.18,9,75.81,2007-11-18,gpfra07
10,Dan FANG,CHN,111.65,9,40.12,10,71.53,2007-11-18,gpfra07
11,Aki SAWADA,JPN,99.18,12,29.94,11,69.24,2007-11-18,gpfra07
12,Anastasia GIMAZETDINOVA,UZB,98.9,11,35.42,12,63.48,2007-11-18,gpfra07
