Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Nathalie PECHALAT / Fabian BOURZAT,FRA,164.18,2,64.89,1,99.29,2012-01-29,ec2012
2,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,160.23,1,65.06,2,95.17,2012-01-29,ec2012
3,Elena ILINYKH / Nikita KATSALAPOV,RUS,153.12,7,59.49,3,93.63,2012-01-29,ec2012
4,Anna CAPPELLINI / Luca LANOTTE,ITA,153.09,6,59.62,4,93.47,2012-01-29,ec2012
5,Ekaterina RIAZANOVA / Ilia TKACHENKO,RUS,152.22,3,61.34,5,90.88,2012-01-29,ec2012
6,Penny COOMES / Nicholas BUCKLAND,GBR,145.31,4,59.78,6,85.53,2012-01-29,ec2012
7,Pernelle CARRON / Lloyd JONES,FRA,142.27,8,57.4,7,84.87,2012-01-29,ec2012
8,Nelli ZHIGANSHINA / Alexander GAZSI,GER,140.84,9,56.79,8,84.05,2012-01-29,ec2012
9,Isabella TOBIAS / Deividas STAGNIUNAS,LTU,139.53,5,59.66,10,79.87,2012-01-29,ec2012
10,Julia ZLOBINA / Alexei SITNIKOV,AZE,133.04,11,49.66,9,83.38,2012-01-29,ec2012
11,Charlene GUIGNARD / Marco FABBRI,ITA,129.46,10,52.45,11,77.01,2012-01-29,ec2012
12,Tanja KOLBE / Stefano CARUSO,GER,123.89,13,49.07,13,74.82,2012-01-29,ec2012
13,Louise WALDEN / Owen EDWARDS,GBR,122.59,14,48.36,14,74.23,2012-01-29,ec2012
14,Irina SHTORK / Taavi RAND,EST,121.09,19,44.97,12,76.12,2012-01-29,ec2012
15,Siobhan HEEKIN-CANEDY / Dmitri DUN,UKR,119.95,16,46.71,15,73.24,2012-01-29,ec2012
16,Sara HURTADO / Adria DIAZ,ESP,117.26,12,49.35,17,67.91,2012-01-29,ec2012
17,Zsuzsanna NAGY / Mate FEJES,HUN,114.4,18,44.99,16,69.41,2012-01-29,ec2012
18,Gabriela KUBOVA / Dmitri KISELEV,CZE,113.51,17,45.88,18,67.63,2012-01-29,ec2012
19,Lucie MYSLIVECKOVA / Neil BROWN,CZE,111.46,15,47.47,19,63.99,2012-01-29,ec2012
20,Nadezhda FROLENKOVA / Mikhail KASALO,UKR,104.74,20,42.6,20,62.14,2012-01-29,ec2012
