Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Carolina KOSTNER,ITA,183.55,1,63.22,1,120.33,2012-01-29,ec2012
2,Kiira KORPI,FIN,166.94,2,61.8,4,105.14,2012-01-29,ec2012
3,Elene GEDEVANISHVILI,GEO,165.93,4,57.14,3,108.79,2012-01-29,ec2012
4,Polina KOROBEYNIKOVA,RUS,164.13,12,49.41,2,114.72,2012-01-29,ec2012
5,Viktoria HELGESSON,SWE,160.82,5,55.68,5,105.14,2012-01-29,ec2012
6,Ksenia MAKAROVA,RUS,159.59,3,57.55,7,102.04,2012-01-29,ec2012
7,Alena LEONOVA,RUS,158.78,6,54.5,6,104.28,2012-01-29,ec2012
8,Valentina MARCHEI,ITA,146.84,7,53.52,9,93.32,2012-01-29,ec2012
9,Yretha SILETE,FRA,145.5,8,52.75,11,92.75,2012-01-29,ec2012
10,Joshi HELGESSON,SWE,145.11,9,52.32,10,92.79,2012-01-29,ec2012
11,Elena GLEBOVA,EST,141.92,10,52.32,13,89.6,2012-01-29,ec2012
12,Natalia POPOVA,UKR,138.6,19,43.75,8,94.85,2012-01-29,ec2012
13,Mae Berenice MEITE,FRA,137.33,11,49.86,15,87.47,2012-01-29,ec2012
14,Monika SIMANCIKOVA,SVK,136.79,14,46.39,12,90.4,2012-01-29,ec2012
15,Sonia LAFUENTE,ESP,133.64,13,47.34,16,86.3,2012-01-29,ec2012
16,Alina FJODOROVA,LAT,133.48,18,44.37,14,89.11,2012-01-29,ec2012
17,Juulia TURKKILA,FIN,130.33,15,45.65,17,84.68,2012-01-29,ec2012
18,Jenna MCCORKELL,GBR,125.41,16,45.32,19,80.09,2012-01-29,ec2012
19,Isabelle PIEMAN,BEL,122.13,17,44.39,20,77.74,2012-01-29,ec2012
20,Romy BÜHLER,SUI,121.25,24,38.14,18,83.11,2012-01-29,ec2012
21,Myriam LEUENBERGER,SUI,117.73,21,41.77,21,75.96,2012-01-29,ec2012
22,Nathalie WEINZIERL,GER,115.89,20,42.56,22,73.33,2012-01-29,ec2012
23,Francesca RIO,ITA,108.66,22,40.02,23,68.64,2012-01-29,ec2012
24,Karina JOHNSON,DEN,92.12,23,38.23,24,53.89,2012-01-29,ec2012
25,Fleur MAXWELL,LUX,37.06,25,37.06,DNQ,DNQ,2012-01-29,ec2012
26,Kaat VAN DAELE,BEL,35.11,26,35.11,DNQ,DNQ,2012-01-29,ec2012
27,Chelsea Rose CHIAPPA,HUN,34.46,27,34.46,DNQ,DNQ,2012-01-29,ec2012
28,Clara PETERS,IRL,30.88,28,30.88,DNQ,DNQ,2012-01-29,ec2012
