Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Patrick CHAN,CAN,262.03,1,88.1,1,173.93,2013-10-27,gpcan2013
2,Yuzuru HANYU,JPN,234.8,3,80.4,2,154.4,2013-10-27,gpcan2013
3,Nobunari ODA,JPN,233.0,2,80.82,3,152.18,2013-10-27,gpcan2013
4,Michal BREZINA,CZE,218.32,7,71.71,5,146.61,2013-10-27,gpcan2013
5,Joshua FARRIS,USA,216.72,8,69.14,4,147.58,2013-10-27,gpcan2013
6,Jeremy ABBOTT,USA,215.95,4,74.58,6,141.37,2013-10-27,gpcan2013
7,Elladj BALDE,CAN,205.19,6,72.35,7,132.84,2013-10-27,gpcan2013
8,Andrei ROGOZINE,CAN,197.35,9,68.31,9,129.04,2013-10-27,gpcan2013
9,Ross MINER,USA,196.89,10,66.71,8,130.18,2013-10-27,gpcan2013
10,Takahito MURA,JPN,188.53,5,73.08,10,115.45,2013-10-27,gpcan2013
