ISU GP Samsung Anycall Cup of China 2008,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,Total,Total,
NOC,,Segment Element,,Program  Component,Deductions,
Rank Name,,,,,,
Code,,Score Score,,Score (factored),,
"",,= +,,+,-,
1 Jeremy ABBOTT USA,,77.05  42.40,,34.65,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3F  5.50 -1.00 -1 -2 -1 -1,,-1 -1 0 -1,,-1 - - -,4.50,
2 3A  8.20  0.00 0 0 0 0,,1 0 0 In1fo,,0 - - -,8.20,Info
3 CCoSp3  3.00  1.10 2 2 2 2,,2 3 3 2,,2 - - -,4.10,
4 3Lz+3T  10.00  1.00 1 0 1 1,,0 1 1 1,,1 - - -,11.00,
5 FSSp4  3.00  0.60 2 1 1 1,,1 1 0 1,,2 - - -,3.60,
6 CiSt3  3.30  0.60 1 2 1 1,,2 1 2 0,,1 - - -,3.90,
7 SlSt3  3.30  0.20 0 1 0 0,,1 1 1 0,,0 - - -,3.50,
8 CSSp4  3.00  0.60 2 2 1 1,,1 1 1 2,,2 - - -,3.60,
39.30,,,,,42.40,
Program Components Factor,,,,,,
Skating Skills  1.00 7.00 6.75 7.00 7.25,,6.75 7.25 6.50 6.75,,7.25 - - -,7.05,
Transition / Linking Footwork  1.00 6.50 6.50 6.50 6.75,,6.25 7.50 6.50 6.25,,6.50 - - -,6.55,
Performance / Execution  1.00 6.75 7.00 7.00 7.00,,6.75 7.75 7.00 6.75,,7.00 - - -,6.95,
Choreography / Composition  1.00 6.75 7.25 6.75 7.00,,6.50 8.25 7.00 6.75,,7.25 - - -,6.95,
Interpretation  1.00 7.00 7.50 6.75 7.25,,6.75 8.00 7.50 6.75,,7.25 - - -,7.15,
Judges Total Program Component Score (factored),,,,,34.65,
Deductions:,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,
"",,Total Total,,Total,Total,
NOC,,Segment Element,,Program  Component,Deductions,
Rank Name,,,,,,
Code,,Score Score,,Score (factored),,
"",,= +,,+,-,
2 Vaughn CHIPEUR CAN,,72.70  43.80,,28.90,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3A  8.20  1.40 1 1 1 1,,3 2 2 2,,1 - - -,9.60,
2 3Lz+3T  10.00  0.40 0 0 1 0,,1 0 1 1,,0 - - -,10.40,
3 3F  5.50  1.20 1 0 0 1,,2 1 2 2,,1 - - -,6.70,
4 CCoSp4  3.50  0.30 1 -1 1 0,,1 0 1 0,,-1 - - -,3.80,
5 FSSp4  3.00  0.30 0 0 1 1,,0 1 2 1,,0 - - -,3.30,
6 SeSt3  3.30  0.10 0 0 1 0,,0 0 1 1,,0 - - -,3.40,
7 CiSt3  3.30  0.10 0 0 0 0,,1 0 1 1,,0 - - -,3.40,
8 CSSp4  3.00  0.20 1 0 0 0,,1 0 1 0,,0 - - -,3.20,
39.80,,,,,43.80,
Program Components Factor,,,,,,
Skating Skills  1.00 6.25 6.25 6.25 5.50,,6.25 6.75 6.25 7.00,,5.50 - - -,6.10,
Transition / Linking Footwork  1.00 5.75 6.00 6.00 5.00,,5.75 5.75 4.50 6.00,,5.00 - - -,5.45,
Performance / Execution  1.00 6.00 5.75 6.25 5.25,,6.00 6.00 5.50 7.00,,5.00 - - -,5.75,
Choreography / Composition  1.00 5.50 5.75 6.00 5.25,,6.25 6.50 5.50 6.50,,5.50 - - -,5.75,
Interpretation  1.00 5.75 5.75 6.25 5.25,,6.25 6.00 6.00 6.75,,5.00 - - -,5.85,
Judges Total Program Component Score (factored),,,,,28.90,
Deductions:,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,
ISU GP Samsung Anycall Cup of China 2008,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
3 Stephen CARRIERE USA,,72.00  39.40,,,32.60,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3A  8.20  0.40 0 1 1 0,,0 0 1 2,,1,- - -,8.60,
2 3F+3T !  9.50 -2.00 -3 -2 -2 -2,,-2 -2 -2 In-f2o,,-2,- - -,7.50,Info
3 CSSp4  3.00  0.10 1 2 0 0,,0 0 1 1,,0,- - -,3.10,
4 CiSt3  3.30  0.10 0 -1 0 0,,0 1 1 1,,0,- - -,3.40,
5 FSSp4  3.00  0.30 2 1 0 1,,0 1 0 1,,1,- - -,3.30,
6 3Lz  6.00  0.00 0 0 0 0,,0 0 1 0,,0,- - -,6.00,
7 CCoSp4  3.50  0.40 1 1 1 1,,1 0 0 1,,1,- - -,3.90,
8 SlSt3  3.30  0.30 0 1 1 0,,1 0 1 1,,1,- - -,3.60,
39.80,,,,,,39.40,
Program Components Factor,,,,,,,
Skating Skills  1.00 6.25 6.50 7.25 7.25,,6.25 6.50 6.50 7.00,,6.25,- - -,6.55,
Transition / Linking Footwork  1.00 6.00 6.50 6.75 7.00,,6.00 6.75 5.50 6.75,,5.75,- - -,6.25,
Performance / Execution  1.00 6.50 6.75 7.00 7.25,,6.25 6.75 6.00 7.00,,6.50,- - -,6.60,
Choreography / Composition  1.00 6.25 6.75 7.25 7.25,,6.25 6.75 6.25 6.75,,6.75,- - -,6.65,
Interpretation  1.00 6.25 7.00 7.00 7.00,,6.00 6.75 6.25 7.00,,6.50,- - -,6.55,
Judges Total Program Component Score (factored),,,,,,32.60,
Deductions:,,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
4 Tomas VERNER CZE,,65.55  28.60,,,36.95,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2T  1.30 -1.00 -3 -3 -3 -3,,-3 -3 -3 -3,,-3,- - -,0.30,
2 3A  8.20  1.00 1 1 1 1,,1 1 1 1,,0,- - -,9.20,
3 3Lz*+2T* *  0.00  0.00 - - - -,,- - - -,,-,- - -,0.00,
4 CSSp4  3.00  0.50 1 1 1 1,,1 1 1 0,,1,- - -,3.50,
5 SlSt3  3.30  0.80 1 2 1 2,,2 2 2 2,,1,- - -,4.10,
6 FSSp4  3.00  0.50 1 2 0 1,,1 1 1 2,,1,- - -,3.50,
7 CiSt3  3.30  0.90 1 2 1 2,,2 2 2 2,,2,- - -,4.20,
8 CCoSp4  3.50  0.30 1 0 0 1,,2 0 1 0,,0,- - -,3.80,
25.60,,,,,,28.60,
Program Components Factor,,,,,,,
Skating Skills  1.00 7.25 7.50 7.25 8.00,,7.25 8.00 7.50 7.25,,7.50,- - -,7.50,
Transition / Linking Footwork  1.00 7.00 7.50 6.75 7.75,,7.00 7.50 7.00 6.75,,6.50,- - -,7.05,
Performance / Execution  1.00 7.50 7.25 7.00 7.75,,7.50 7.25 7.50 7.00,,6.75,- - -,7.35,
Choreography / Composition  1.00 7.50 7.50 7.25 7.75,,7.50 7.75 7.50 7.00,,7.50,- - -,7.55,
Interpretation  1.00 7.50 7.75 7.00 8.00,,7.75 7.25 8.00 7.00,,7.00,- - -,7.50,
Judges Total Program Component Score (factored),,,,,,36.95,
Deductions:,,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
ISU GP Samsung Anycall Cup of China 2008,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
