Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Oksana DOMNINA / Maxim SHABALIN,RUS,186.77,1,38.34,2,57.24,1,91.19,2008-11-09,gpchn08
2,Tanith BELBIN / Benjamin AGOSTO,USA,186.41,2,37.15,1,58.08,2,91.18,2008-11-09,gpchn08
3,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,179.5,3,35.68,4,55.12,3,88.7,2008-11-09,gpchn08
4,Anna CAPPELLINI / Luca LANOTTE,ITA,173.11,4,32.52,3,55.22,4,85.37,2008-11-09,gpchn08
5,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,158.9,7,29.68,5,49.98,5,79.24,2008-11-09,gpchn08
6,Kaitlyn WEAVER / Andrew POJE,CAN,157.2,6,29.91,6,48.77,6,78.52,2008-11-09,gpchn08
7,Alexandra ZARETSKI / Roman ZARETSKI,ISR,148.17,5,30.45,7,47.36,7,70.36,2008-11-09,gpchn08
8,Xiaoyang YU / Chen WANG,CHN,139.66,9,25.85,9,45.9,8,67.91,2008-11-09,gpchn08
9,Xintong HUANG / Xun ZHENG,CHN,133.4,8,26.82,8,46.03,9,60.55,2008-11-09,gpchn08
10,Jiameimei GUO / Fei MENG,CHN,115.15,10,21.97,10,34.83,10,58.35,2008-11-09,gpchn08
