Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Meryl DAVIS / Charlie WHITE,USA,189.56,1,77.12,1,112.44,2013-03-17,wc2013
2,Tessa VIRTUE / Scott MOIR,CAN,185.04,2,73.87,2,111.17,2013-03-17,wc2013
3,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,169.19,3,70.05,4,99.14,2013-03-17,wc2013
4,Anna CAPPELLINI / Luca LANOTTE,ITA,168.04,5,67.93,3,100.11,2013-03-17,wc2013
5,Kaitlyn WEAVER / Andrew POJE,CAN,166.2,6,67.54,5,98.66,2013-03-17,wc2013
6,Nathalie PECHALAT / Fabian BOURZAT,FRA,165.6,4,69.65,7,95.95,2013-03-17,wc2013
7,Madison CHOCK / Evan BATES,USA,163.93,7,66.74,6,97.19,2013-03-17,wc2013
8,Maia SHIBUTANI / Alex SHIBUTANI,USA,157.71,8,66.14,9,91.57,2013-03-17,wc2013
9,Elena ILINYKH / Nikita KATSALAPOV,RUS,157.52,9,66.07,10,91.45,2013-03-17,wc2013
10,Nelli ZHIGANSHINA / Alexander GAZSI,GER,154.27,11,60.59,8,93.68,2013-03-17,wc2013
11,Ekaterina RIAZANOVA / Ilia TKACHENKO,RUS,149.78,13,59.52,11,90.26,2013-03-17,wc2013
12,Pernelle CARRON / Lloyd JONES,FRA,145.98,12,60.58,12,85.4,2013-03-17,wc2013
13,Penny COOMES / Nicholas BUCKLAND,GBR,145.71,10,63.66,17,82.05,2013-03-17,wc2013
14,Siobhan HEEKIN-CANEDY / Dmitri DUN,UKR,141.88,14,59.2,16,82.68,2013-03-17,wc2013
15,Isabella TOBIAS / Deividas STAGNIUNAS,LTU,141.64,18,57.39,13,84.25,2013-03-17,wc2013
16,Julia ZLOBINA / Alexei SITNIKOV,AZE,141.44,17,57.8,14,83.64,2013-03-17,wc2013
17,Charlene GUIGNARD / Marco FABBRI,ITA,140.95,16,57.89,15,83.06,2013-03-17,wc2013
18,Piper GILLES / Paul POIRIER,CAN,140.02,15,58.61,18,81.41,2013-03-17,wc2013
19,Sara HURTADO / Adria DIAZ,ESP,131.28,20,53.12,19,78.16,2013-03-17,wc2013
20,Cathy REED / Chris REED,JPN,129.94,19,53.95,20,75.99,2013-03-17,wc2013
21,Lucie MYSLIVECKOVA / Neil BROWN,CZE,51.82,21,51.82,DNQ,DNQ,2013-03-17,wc2013
22,Olesia KARMI / Max LINDHOLM,FIN,48.06,22,48.06,DNQ,DNQ,2013-03-17,wc2013
23,Allison REED / Vasili ROGOV,ISR,46.63,23,46.63,DNQ,DNQ,2013-03-17,wc2013
24,Zsuzsanna NAGY / Mate FEJES,HUN,45.6,24,45.6,DNQ,DNQ,2013-03-17,wc2013
25,Irina SHTORK / Taavi RAND,EST,45.29,25,45.29,DNQ,DNQ,2013-03-17,wc2013
26,Federica TESTA / Lukas CSOLLEY,SVK,44.73,26,44.73,DNQ,DNQ,2013-03-17,wc2013
27,Justyna PLUTOWSKA / Peter GERBER,POL,44.0,27,44.0,DNQ,DNQ,2013-03-17,wc2013
28,Alisa AGAFONOVA / Alper UCAR,TUR,43.98,28,43.98,DNQ,DNQ,2013-03-17,wc2013
29,Viktoria KAVALIOVA / Yurii BIELIAIEV,BLR,32.5,29,32.5,DNQ,DNQ,2013-03-17,wc2013
