Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Tatiana VOLOSOZHAR / Maxim TRANKOV,RUS,225.71,1,75.84,1,149.87,2013-03-17,wc2013
2,Aliona SAVCHENKO / Robin SZOLKOWY,GER,205.56,3,73.47,2,132.09,2013-03-17,wc2013
3,Meagan DUHAMEL / Eric RADFORD,CAN,204.56,2,73.61,3,130.95,2013-03-17,wc2013
4,Kirsten MOORE-TOWERS / Dylan MOSCOVITCH,CAN,199.5,5,69.25,5,130.25,2013-03-17,wc2013
5,Qing PANG / Jian TONG,CHN,194.64,6,63.95,4,130.69,2013-03-17,wc2013
6,Yuko KAVAGUTI / Alexander SMIRNOV,RUS,191.59,4,69.98,7,121.61,2013-03-17,wc2013
7,Vera BAZAROVA / Yuri LARIONOV,RUS,184.72,7,61.91,6,122.81,2013-03-17,wc2013
8,Vanessa JAMES / Morgan CIPRES,FRA,180.17,8,60.98,8,119.19,2013-03-17,wc2013
9,Alexa SCIMECA / Chris KNIERIM,USA,173.51,12,55.73,9,117.78,2013-03-17,wc2013
10,Stefania BERTON / Ondrej HOTAREK,ITA,171.77,9,59.07,10,112.7,2013-03-17,wc2013
11,Cheng PENG / Hao ZHANG,CHN,167.18,10,58.52,11,108.66,2013-03-17,wc2013
12,Wenjing SUI / Cong HAN,CHN,165.89,11,57.65,13,108.24,2013-03-17,wc2013
13,Marissa CASTELLI / Simon SHNAPIR,USA,164.0,13,55.68,12,108.32,2013-03-17,wc2013
14,Nicole DELLA MONICA / Matteo GUARISE,ITA,136.03,15,47.82,14,88.21,2013-03-17,wc2013
15,Stacey KEMP / David KING,GBR,133.56,14,48.6,16,84.96,2013-03-17,wc2013
16,Mari VARTMANN / Aaron VAN CLEAVE,GER,133.12,16,47.36,15,85.76,2013-03-17,wc2013
17,Elizaveta MAKAROVA / Leri KENCHADZE,BUL,36.48,17,36.48,DNQ,DNQ,2013-03-17,wc2013
18,Magdalena KLATKA / Radoslaw CHRUSCINSKI,POL,35.44,18,35.44,DNQ,DNQ,2013-03-17,wc2013
