Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Yuzuru HANYU,JPN,322.4,1,106.33,1,216.07,2015-11-29,gpjpn2015
2,Boyang JIN,CHN,266.43,2,95.64,2,170.79,2015-11-29,gpjpn2015
3,Takahito MURA,JPN,242.21,3,88.29,5,153.92,2015-11-29,gpjpn2015
4,Grant HOCHSTEIN,USA,235.63,8,74.3,3,161.33,2015-11-29,gpjpn2015
5,Keiji TANAKA,JPN,234.9,9,73.74,4,161.16,2015-11-29,gpjpn2015
6,Konstantin MENSHOV,RUS,233.58,6,79.79,6,153.79,2015-11-29,gpjpn2015
7,Michal BREZINA,CZE,222.49,5,81.64,9,140.85,2015-11-29,gpjpn2015
8,Richard DORNBUSH,USA,217.5,7,78.2,10,139.3,2015-11-29,gpjpn2015
9,Chafik BESSEGHIER,FRA,215.82,10,72.51,7,143.31,2015-11-29,gpjpn2015
10,Maxim KOVTUN,RUS,212.63,4,82.27,11,130.36,2015-11-29,gpjpn2015
11,Elladj BALDE,CAN,211.09,11,69.47,8,141.62,2015-11-29,gpjpn2015
12,Brendan KERRY,AUS,177.98,12,61.2,12,116.78,2015-11-29,gpjpn2015
