Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Ashley WAGNER,USA,190.63,2,63.09,1,127.54,2012-11-18,gpfra2012
2,Elizaveta TUKTAMYSHEVA,RUS,179.62,3,58.26,2,121.36,2012-11-18,gpfra2012
3,Julia LIPNITSKAIA,RUS,179.31,1,63.55,3,115.76,2012-11-18,gpfra2012
4,Christina GAO,USA,164.71,7,52.55,4,112.16,2012-11-18,gpfra2012
5,Mae Berenice MEITE,FRA,157.58,4,54.83,5,102.75,2012-11-18,gpfra2012
6,Polina KOROBEYNIKOVA,RUS,144.82,5,54.5,7,90.32,2012-11-18,gpfra2012
7,Elena GLEBOVA,EST,140.86,6,52.61,9,88.25,2012-11-18,gpfra2012
8,Jenna MCCORKELL,GBR,135.4,10,43.15,6,92.25,2012-11-18,gpfra2012
9,Joshi HELGESSON,SWE,133.77,9,45.19,8,88.58,2012-11-18,gpfra2012
10,Lena MARROCCO,FRA,132.44,8,48.86,10,83.58,2012-11-18,gpfra2012
