Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Akiko SUZUKI,JPN,185.98,1,66.55,2,119.43,2011-11-13,gpjpn2011
2,Mao ASADA,JPN,184.19,3,58.42,1,125.77,2011-11-13,gpjpn2011
3,Alena LEONOVA,RUS,170.68,2,61.76,4,108.92,2011-11-13,gpjpn2011
4,Ashley WAGNER,USA,165.65,5,55.88,3,109.77,2011-11-13,gpjpn2011
5,Elene GEDEVANISHVILI,GEO,160.44,4,57.37,6,103.07,2011-11-13,gpjpn2011
6,Kiira KORPI,FIN,157.53,7,53.7,5,103.83,2011-11-13,gpjpn2011
7,Mae Berenice MEITE,FRA,143.69,8,52.05,7,91.64,2011-11-13,gpjpn2011
8,Agnes ZAWADZKI,USA,138.19,6,53.84,9,84.35,2011-11-13,gpjpn2011
9,Cynthia PHANEUF,CAN,131.82,9,45.42,8,86.4,2011-11-13,gpjpn2011
10,Shoko ISHIKAWA,JPN,122.14,10,45.07,10,77.07,2011-11-13,gpjpn2011
