Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Tatiana NAVKA / Roman KOSTOMAROV,RUS,197.07,1,36.83,1,58.5,1,101.74,2005-11-06,gpchn05
2,Galit CHAIT / Sergei SAKHNOVSKI,ISR,186.13,2,34.23,2,55.81,2,96.09,2005-11-06,gpchn05
3,Megan WING / Aaron LOWE,CAN,163.36,4,31.58,3,50.61,4,81.17,2005-11-06,gpchn05
4,Kristin FRASER / Igor LUKANIN,AZE,161.58,5,29.15,6,47.62,3,84.81,2005-11-06,gpchn05
5,Morgan MATTHEWS / Maxim ZAVOZIN,USA,157.72,6,28.51,5,48.89,5,80.32,2005-11-06,gpchn05
6,Federica FAIELLA / Massimo SCALI,ITA,156.35,3,32.03,4,49.32,6,75.0,2005-11-06,gpchn05
7,Alexandra KAUC / Michal ZYCH,POL,142.57,7,26.41,7,43.48,7,72.68,2005-11-06,gpchn05
8,Julia GOLOVINA / Oleg VOIKO,UKR,134.21,8,26.03,8,41.71,8,66.47,2005-11-06,gpchn05
9,Alexandra ZARETSKI / Roman ZARETSKI,ISR,129.87,9,24.36,9,39.37,9,66.14,2005-11-06,gpchn05
10,Xiaoyang YU / Chen WANG,CHN,127.37,10,22.98,10,38.67,10,65.72,2005-11-06,gpchn05
