ISU GP Rostelecom Cup 2014,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Ksenia STOLBOVA / Fedor KLIMOV RUS  8,69.09  35.50,,33.59,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3Tw2  5.40  1.10 1 2 2,1 2 1 2,,2 1,6.50,
2 3T  4.10  1.60 1 2 2,2 3 2 3,,2 3,5.70,
3 3LzTh  5.50  1.30 1 2 2,2 2 1 2,,2 2,6.80,
4 3Li1  2.50  0.36 1 1 1,1 1 0 0,,2 -1,2.86,
Info,,,Info,,Info
5 FiDs3  3.20  0.80 1 1 1,2 1 1 1,,2 1,4.00,
6 FCCoSp3p4  3.50  1.14 1 3 2,2 3 2 2,,2 3,4.64,
7 StSq4  3.90  1.10 1 2 2,2 2 1 1,,1 2,5.00,
28.10,,,,35.50,
Program Components Factor,,,,,
Skating Skills  0.80 7.25 9.00 8.75,8.50 8.75 9.25 8.25,,8.25 7.75,8.46,
Transition / Linking Footwork  0.80 7.00 8.75 8.50,8.25 8.75 9.00 8.00,,7.75 7.50,8.21,
Performance / Execution  0.80 7.00 8.75 8.75,8.75 9.25 9.00 8.00,,8.25 7.75,8.46,
Choreography / Composition  0.80 7.00 9.00 8.50,8.50 9.00 9.25 8.25,,8.00 8.00,8.46,
Interpretation  0.80 7.00 9.00 8.75,8.50 9.00 9.00 8.25,,7.75 7.50,8.39,
Judges Total Program Component Score (factored),,,,33.59,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Evgenia TARASOVA / Vladimir MOROZOV RUS  6,67.28  36.62,,30.66,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3Tw4  6.20  1.70 2 3 2,2 3 3 2,,2 3,7.90,
2 3T  4.10  0.90 1 1 2,1 2 2 1,,1 1,5.00,
3 3LoTh  5.00  1.10 1 2 1,2 3 1 2,,1 2,6.10,
4 FiDs3  3.20  1.00 1 1 1,2 2 2 1,,2 1,4.20,
5 3Li4  4.00  0.71 0 1 2,1 2 1 2,,1 2,4.71,
6 FCCoSp3p4  3.50  0.21 0 1 1,1 0 0 0,,0 1,3.71,
7 StSq4  3.90  1.10 2 1 1,1 1 2 2,,2 2,5.00,
29.90,,,,36.62,
Program Components Factor,,,,,
Skating Skills  0.80 7.50 7.50 8.00,7.50 7.25 7.75 8.25,,7.25 7.75,7.61,
Transition / Linking Footwork  0.80 7.50 7.25 8.00,6.75 7.25 7.50 8.00,,7.00 7.25,7.39,
Performance / Execution  0.80 7.75 7.50 8.25,7.50 8.00 8.25 8.25,,7.25 8.00,7.89,
Choreography / Composition  0.80 7.75 7.25 8.00,7.50 7.50 7.75 8.25,,7.25 7.50,7.61,
Interpretation  0.80 8.00 7.50 8.25,7.25 8.00 8.00 8.25,,7.25 7.75,7.82,
Judges Total Program Component Score (factored),,,,30.66,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
3 Kristina ASTAKHOVA / Alexei ROGONOV RUS  2,58.34  31.74,,26.60,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3S  4.20  0.80 1 1 1,1 0 2 1,,2 1,5.00,
2 3Tw2  5.40 -0.10 0 -2 0,-1 0 0 0,,0 0,5.30,
