Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Rika HONGO,JPN,178.0,2,59.85,1,118.15,2014-11-16,gprus2014
2,Anna POGORILAYA,RUS,173.43,3,59.32,2,114.11,2014-11-16,gprus2014
3,Alaine CHARTRAND,CAN,172.0,1,61.18,3,110.82,2014-11-16,gprus2014
4,Mirai NAGASU,USA,165.88,4,58.9,6,106.98,2014-11-16,gprus2014
5,So Youn PARK,KOR,163.24,7,53.71,4,109.53,2014-11-16,gprus2014
6,Miyabi OBA,JPN,154.57,10,46.76,5,107.81,2014-11-16,gprus2014
7,Maria STAVITSKAIA,RUS,153.49,6,54.78,8,98.71,2014-11-16,gprus2014
8,Ashley CAIN,USA,150.9,5,57.18,9,93.72,2014-11-16,gprus2014
9,Angela WANG,USA,150.75,9,51.25,7,99.5,2014-11-16,gprus2014
10,Maria ARTEMIEVA,RUS,144.72,8,51.88,10,92.84,2014-11-16,gprus2014
11,Eliska BREZINOVA,CZE,134.04,11,46.64,11,87.4,2014-11-16,gprus2014
WD,Joshi HELGESSON,SWE,44.0,12,44.0,WD,WD,2014-11-16,gprus2014
