Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Javier FERNANDEZ,ESP,265.01,1,93.92,1,171.09,2014-11-16,gprus2014
2,Sergei VORONOV,RUS,252.0,2,90.33,2,161.67,2014-11-16,gprus2014
3,Michal BREZINA,CZE,241.23,4,80.89,3,160.34,2014-11-16,gprus2014
4,Misha GE,UZB,238.05,5,79.69,5,158.36,2014-11-16,gprus2014
5,Jason BROWN,USA,235.56,7,76.32,4,159.24,2014-11-16,gprus2014
6,Takahiko KOZUKA,JPN,216.8,3,81.38,7,135.42,2014-11-16,gprus2014
7,Max AARON,USA,212.6,6,77.09,6,135.51,2014-11-16,gprus2014
8,Artur GACHINSKI,RUS,201.26,8,74.13,9,127.13,2014-11-16,gprus2014
9,Stephen CARRIERE,USA,201.24,10,72.2,8,129.04,2014-11-16,gprus2014
10,Jeremy TEN,CAN,198.5,9,73.91,11,124.59,2014-11-16,gprus2014
11,Ivan RIGHINI,ITA,195.07,11,69.74,10,125.33,2014-11-16,gprus2014
12,Moris KVITELASHVILI,RUS,174.25,12,62.24,12,112.01,2014-11-16,gprus2014
