Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Adam RIPPON,USA,225.78,7,69.56,1,156.22,1/30/10,fc2010
2,Tatsuki MACHIDA,JPN,217.48,6,69.6,2,147.88,1/30/10,fc2010
3,Kevin REYNOLDS,CAN,212.99,1,81.6,8,131.39,1/30/10,fc2010
4,Brandon MROZ,USA,212.68,3,70.88,5,141.8,1/30/10,fc2010
5,Ryan BRADLEY,USA,212.19,8,66.22,3,145.97,1/30/10,fc2010
6,Nan SONG,CHN,209.68,2,72.95,6,136.73,1/30/10,fc2010
7,Shawn SAWYER,CAN,206.34,10,62.36,4,143.98,1/30/10,fc2010
8,Jialiang WU,CHN,203.6,5,70.33,7,133.27,1/30/10,fc2010
9,Jinlin GUAN,CHN,195.66,9,64.6,9,131.06,1/30/10,fc2010
10,Denis TEN,KAZ,172.65,4,70.5,14,102.15,1/30/10,fc2010
11,Joey RUSSELL,CAN,171.44,12,57.05,10,114.39,1/30/10,fc2010
12,Yasuharu NANRI,JPN,171.36,11,61.48,11,109.88,1/30/10,fc2010
13,Abzal RAKIMGALIEV,KAZ,156.91,13,55.91,15,101,1/30/10,fc2010
14,Min-Seok KIM,KOR,153.09,16,49.49,12,103.6,1/30/10,fc2010
15,Kento NAKAMURA,JPN,152.69,17,49.24,13,103.45,1/30/10,fc2010
16,Stephen Li-Chung KUO,TPE,148.96,14,53.8,16,95.16,1/30/10,fc2010
17,Kevin ALVES,BRA,130.76,19,41.81,17,88.95,1/30/10,fc2010
18,Mark WEBSTER,AUS,129.73,15,51.05,19,78.68,1/30/10,fc2010
19,Matthew PRECIOUS,AUS,127.09,18,47.44,18,79.65,1/30/10,fc2010
20,Wun-Chang SHIH,TPE,101.87,20,40.53,20,61.34,1/30/10,fc2010
21,Nicholas FERNANDEZ,AUS,35.43,21,35.43,DNQ,DNQ,1/30/10,fc2010
22,Charles Shu-Sa PAO,TPE,35.1,22,35.1,DNQ,DNQ,1/30/10,fc2010
23,Humberto CONTRERAS,MEX,33.27,23,33.27,DNQ,DNQ,1/30/10,fc2010
24,Min Seok SEO,KOR,30.42,24,30.42,DNQ,DNQ,1/30/10,fc2010
25,Hau Yin LEE,HKG,27.87,25,27.87,DNQ,DNQ,1/30/10,fc2010
26,Hon Lam TO,HKG,27.46,26,27.46,DNQ,DNQ,1/30/10,fc2010
27,Cameron HEMS,NZL,25.35,27,25.35,DNQ,DNQ,1/30/10,fc2010
