Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Kaitlyn WEAVER / Andrew POJE,CAN,166.16,1,32.67,1,48.42,1,85.07,2010-01-30,fc2010
2,Allie HANN-MCCURDY / Michael CORENO,CAN,159.56,3,29.89,2,48.21,2,81.46,2010-01-30,fc2010
3,Madison HUBBELL / Keiffer HUBBELL,USA,154.2,4,29.76,4,46.75,4,77.69,2010-01-30,fc2010
4,Xintong HUANG / Xun ZHENG,CHN,150.38,2,30.12,3,47.21,7,73.05,2010-01-30,fc2010
5,Madison CHOCK / Greg ZUERLEIN,USA,148.92,5,29.14,5,44.12,5,75.66,2010-01-30,fc2010
6,Kharis RALPH / Asher HILL,CAN,147.38,7,26.57,8,41.8,3,79.01,2010-01-30,fc2010
7,Jane SUMMERSETT / Todd GILLES,USA,144.53,8,25.26,6,43.95,6,75.32,2010-01-30,fc2010
8,Xiaoyang YU / Chen WANG,CHN,141.55,6,28.16,7,42.48,8,70.91,2010-01-30,fc2010
9,Xueting GUAN / Meng WANG,CHN,127.06,9,21.64,9,40.53,9,64.89,2010-01-30,fc2010
10,Danielle OBRIEN / Gregory MERRIMAN,AUS,115.73,10,21.12,11,33.9,10,60.71,2010-01-30,fc2010
11,Corenne BRUHNS / Andrew LAVRIK,MEX,106.07,11,17.71,10,34.33,12,54.03,2010-01-30,fc2010
12,Maria BOROUNOV / Evgeni BOROUNOV,AUS,106.03,12,17.22,12,32.32,11,56.49,2010-01-30,fc2010
