Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Nathalie PECHALAT / Fabian BOURZAT,FRA,159.59,1,64.12,1,95.47,2010-11-07,gpchn2010
2,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,145.39,3,55.85,2,89.54,2010-11-07,gpchn2010
3,Federica FAIELLA / Massimo SCALI,ITA,139.52,2,57.21,3,82.31,2010-11-07,gpchn2010
4,Nora HOFFMANN / Maxim ZAVOZIN,HUN,130.82,4,52.69,4,78.13,2010-11-07,gpchn2010
5,Xintong HUANG / Xun ZHENG,CHN,124.6,5,49.7,6,74.9,2010-11-07,gpchn2010
6,Madison HUBBELL / Keiffer HUBBELL,USA,120.95,8,44.47,5,76.48,2010-11-07,gpchn2010
7,Kharis RALPH / Asher HILL,CAN,119.51,6,48.1,7,71.41,2010-11-07,gpchn2010
8,Xiaoyang YU / Chen WANG,CHN,114.46,7,45.33,8,69.13,2010-11-07,gpchn2010
9,Xueting GUAN / Meng WANG,CHN,105.91,9,40.19,9,65.72,2010-11-07,gpchn2010
10,Isabella CANNUSCIO / Ian LORELLO,USA,101.83,10,38.34,10,63.49,2010-11-07,gpchn2010
