10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
9,Binshu XU,CHN,0,45.74,26.14,20.6,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3Lz+2T,,7.3,False,0.2,1,0,0,0,-1,0,1,1,1,0,,7.5
2,3F,e,5.5,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.5
3,FCSp2,,2.0,False,-0.06,0,0,-2,-1,-1,0,0,0,0,0,,1.94
4,SpSq4,,3.4,False,0.4,0,1,0,0,1,0,1,1,0,0,,3.8
5,2A,,3.5,False,0.0,0,0,0,1,0,0,0,0,0,0,,3.5
6,LSp2,,1.8,False,0.4,1,1,1,1,1,0,0,1,1,0,,2.2
7,SlSt1,,1.8,False,0.1,0,1,0,0,0,0,0,0,1,0,,1.9
8,CCoSp2,,2.5,False,0.3,1,0,1,1,1,1,1,0,1,0,,2.8
,,,27.8,,,,,,,,,,,,,,26.14
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,5.75,5.5,5.25,5.0,5.25,5.5,5.5,5.5,6.0,5.0,,5.4
,Transition / Linking Footwork ,,,,0.8,5.25,4.75,4.75,4.5,4.5,5.0,5.0,4.5,5.0,5.0,,4.8
,Performance / Execution ,,,,0.8,5.5,5.25,5.25,4.75,5.25,5.25,5.0,4.75,6.25,5.25,,5.25
,Choreography / Composition ,,,,0.8,5.5,5.0,5.25,4.75,5.25,5.0,5.25,4.5,6.0,5.25,,5.15
,Interpretation ,,,,0.8,5.5,5.0,5.0,4.75,5.25,5.25,5.5,4.75,6.25,5.25,,5.15
,,,,,,,,,,,,,,,,,20.6
Deduction,Falls,-1.0
