8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Tessa VIRTUE / Scott MOIR,CAN,7,106.73,50.9,55.83,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,DiSt3,,6.5,False,2.17,2,2,3,2,2,3,2,2,,8.67
2,CuLi4,,4.0,False,1.17,3,3,3,1,2,2,2,2,,5.17
3,STw4,,6.0,False,1.08,3,2,2,2,2,2,2,3,,7.08
4,CoSp4,,5.0,False,0.92,1,2,3,2,1,2,2,2,,5.92
5,CiSt3,,6.5,False,2.0,2,1,3,2,2,2,2,2,,8.5
6,RoLi4,,4.0,False,1.33,3,3,3,2,2,3,2,3,,5.33
7,SlLi4+RoLi4,,8.0,False,2.23,2,3,3,2,3,3,3,2,,10.23
8,Li+TRANS,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,,,40.0,,,,,,,,,,,,50.9
,Program Components,,,,Factor
,Skating Skills  ,,,,1.25,8.75,9.25,9.5,8.75,9.25,9.0,8.75,9.5,,9.08
,Linking Footwork / Movement  ,,,,1.75,9.0,9.25,9.5,8.75,8.75,9.25,9.25,9.25,,9.13
,Performance  ,,,,1.0,9.25,9.5,9.75,9.25,9.5,9.75,9.25,9.75,,9.5
,Choreography  ,,,,1.0,9.0,9.5,10.0,9.5,9.0,9.75,9.5,9.5,,9.46
,Interpretation / Timing  ,,,,1.0,9.25,9.5,9.75,9.5,9.25,9.75,9.5,10.0,,9.54
,,,,,,,,,,,,,,,55.83
