Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Mao ASADA,JPN,197.48,1,71.73,3,125.75,2015-11-08,gpchn2015
2,Rika HONGO,JPN,195.76,2,65.79,1,129.97,2015-11-08,gpchn2015
3,Elena RADIONOVA,RUS,184.28,6,58.51,2,125.77,2015-11-08,gpchn2015
4,Anna POGORILAYA,RUS,184.16,4,61.47,4,122.69,2015-11-08,gpchn2015
5,Karen CHEN,USA,175.93,7,58.3,5,117.63,2015-11-08,gpchn2015
6,Courtney HICKS,USA,166.0,3,62.38,8,103.62,2015-11-08,gpchn2015
7,Nicole RAJICOVA,SVK,165.26,9,54.76,7,110.5,2015-11-08,gpchn2015
8,So Youn PARK,KOR,164.28,10,52.47,6,111.81,2015-11-08,gpchn2015
9,Zijun LI,CHN,159.13,5,58.62,9,100.51,2015-11-08,gpchn2015
10,Hannah MILLER,USA,151.73,8,55.25,10,96.48,2015-11-08,gpchn2015
11,Ziquan ZHAO,CHN,139.77,11,48.66,11,91.11,2015-11-08,gpchn2015
12,Lu ZHENG,CHN,130.32,12,47.23,12,83.09,2015-11-08,gpchn2015
