Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Carolina KOSTNER,ITA,182.14,1,61.88,1,120.26,2011-11-06,gpchn2011
2,Mirai NAGASU,USA,173.22,2,60.96,2,112.26,2011-11-06,gpchn2011
3,Adelina SOTNIKOVA,RUS,159.95,3,53.74,3,106.21,2011-11-06,gpchn2011
4,Kexin ZHANG,CHN,153.32,5,52.85,5,100.47,2011-11-06,gpchn2011
5,Christina GAO,USA,152.48,8,51.99,4,100.49,2011-11-06,gpchn2011
6,Kanako MURAKAMI,JPN,150.2,4,53.09,7,97.11,2011-11-06,gpchn2011
7,Ksenia MAKAROVA,RUS,143.47,9,45.9,6,97.57,2011-11-06,gpchn2011
8,Bingwa GENG,CHN,142.09,6,52.61,8,89.48,2011-11-06,gpchn2011
9,Valentina MARCHEI,ITA,133.86,7,52.42,9,81.44,2011-11-06,gpchn2011
10,Qiuying ZHU,CHN,108.57,10,35.28,10,73.29,2011-11-06,gpchn2011
