ISU GP Cup of China 2011,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Yuko KAVAGUTI / Alexander SMIRNOV RUS  8,122.29  58.53,,63.76,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3T+2T+SEQ  4.32 -1.60 -1 -2 -2,-3 -2 -2 -3,,-3 -2,2.72,
2 3LzTw1  5.00  0.40 0 2 0,1 2 0 1,,0 0,5.40,
3 3STh  4.50  1.00 1 1 1,2 2 1 1,,2 2,5.50,
4 BiDs3  3.20  0.30 0 1 0,1 0 1 0,,2 0,3.50,
"",,,Info,,Info
5 FCCoSp4  3.50  0.36 0 1 1,0 2 1 1,,1 0,3.86,
6 ChSp1  2.00  1.40 2 2 2,2 2 1 2,,2 2,3.40,
7 2A  3.63 x  0.50 1 1 1,1 1 1 1,,1 1,4.13,
8 3LoTh  5.50 x  0.00 -1 1 0,1 -1 -1 0,,1 0,5.50,
9 3Li4  4.40 x  0.79 1 1 2,2 2 2 1,,2 1,5.19,
10 5ALi4  7.15 x  1.30 2 2 2,2 2 2 1,,2 1,8.45,
11 5SLi4  6.60 x  0.64 1 1 2,1 2 0 1,,3 1,7.24,
12 PCoSp1  3.00  0.64 1 1 2,2 1 1 1,,2 1,3.64,
52.80,,,,58.53,
Program Components Factor,,,,,
Skating Skills  1.60 7.75 7.75 8.25,8.25 7.75 8.00 8.00,,8.00 8.25,8.00,
Transition / Linking Footwork  1.60 7.50 7.50 8.00,8.00 7.50 7.75 7.75,,8.00 8.00,7.79,
Performance / Execution  1.60 8.00 7.50 8.25,8.00 7.50 7.75 7.75,,8.00 8.50,7.89,
Choreography / Composition  1.60 7.50 7.75 8.50,8.50 8.00 7.50 7.75,,8.50 8.25,8.04,
Interpretation  1.60 7.75 8.00 8.50,8.25 7.75 8.00 8.00,,8.75 8.50,8.14,
Judges Total Program Component Score (factored),,,,63.76,
Deductions:,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Dan ZHANG / Hao ZHANG CHN  6,117.10  59.07,,59.03,-1.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3T+2T+2T  6.70 -0.60 -1 -1 0,-1 -1 -1 0,,-1 -1,6.10,
2 3Li4  4.00  0.79 2 1 2,2 1 1 2,,2 1,4.79,
3 3LzTw1  5.00  1.50 3 2 2,3 2 2 3,,1 1,6.50,
4 2S  1.30 -0.60 -3 -3 -3,-3 -3 -3 -3,,-3 -3,0.70,
5 FCCoSp4  3.50  0.36 1 0 1,1 1 0 1,,2 0,3.86,
6 3LoTh  5.50 x  1.50 2 2 2,3 2 2 3,,2 1,7.00,
7 5TLi4  6.60 x  0.50 1 1 1,1 1 0 1,,1 1,7.10,
8 ChSp1  2.00  0.90 2 1 2,1 1 1 2,,0 1,2.90,
9 3STh  4.95 x  0.50 1 0 1,1 1 1 2,,-1 0,5.45,
10 BoDs1  3.00  0.10 0 -1 1,0 1 0 1,,-1 0,3.10,
11 PCoSp4  4.50  0.07 0 0 1,1 0 0 0,,0 0,4.57,
12 5ALi3  6.60 x  0.40 1 0 0,1 0 1 1,,0 1,7.00,
53.65,,,,59.07,
Program Components Factor,,,,,
Skating Skills  1.60 7.25 8.00 7.75,8.00 7.25 7.25 7.50,,7.75 7.25,7.54,
