ISU GP Cup of China 2011,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Yuko KAVAGUTI / Alexander SMIRNOV RUS  8,64.45  34.47,,30.98,-1.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
Info,,,Info,,Info
5 PCoSp4  4.50  0.57 1 1 2,1 1 2 0,,1 1,5.07,
6 3Li4  4.00  0.86 2 1 1,1 2 2 2,,2 2,4.86,
7 FiDs3  3.20  0.70 1 1 1,1 1 1 1,,1 1,3.90,
29.70,,,,33.16,
Program Components Factor,,,,,
Skating Skills  0.80 7.00 6.75 7.00,6.25 6.75 6.75 6.50,,7.50 6.75,6.79,
Transition / Linking Footwork  0.80 7.00 6.50 6.50,7.25 6.50 7.25 6.50,,7.00 6.50,6.75,
Performance / Execution  0.80 6.50 6.75 7.25,7.00 7.75 7.00 6.50,,7.50 7.50,7.07,
Choreography / Composition  0.80 7.25 6.50 7.25,6.50 7.50 7.00 6.50,,7.50 7.50,7.07,
Interpretation  0.80 7.25 6.75 7.00,6.75 7.50 7.25 6.75,,7.50 7.25,7.11,
Judges Total Program Component Score (factored),,,,27.84,
Deductions: Falls: -1.00,,,,-1.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
5 Amanda EVORA / Mark LADWIG USA  5,57.88  31.39,,26.49,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3LzTw3  5.80  0.40 0 0 1,1 1 1 0,,0 1,6.20,
2 3T  4.10 -1.50 -3 -2 -2,-2 -2 -3 -2,,-2 -2,2.60,
3 PCoSp4  4.50  0.29 0 0 1,1 0 1 0,,1 1,4.79,
4 3LoTh  5.00  0.60 1 0 1,1 0 1 1,,2 1,5.60,
5 SlSt3  3.30  0.50 1 0 1,1 1 1 1,,1 1,3.80,
6 3Li4  4.00  0.50 1 1 0,1 2 1 1,,1 1,4.50,
7 FiDs3  3.20  0.70 1 1 1,1 1 1 1,,1 1,3.90,
29.90,,,,31.39,
Program Components Factor,,,,,
Skating Skills  0.80 6.50 6.00 6.75,7.00 6.75 6.75 6.25,,7.25 6.75,6.68,
Transition / Linking Footwork  0.80 6.25 5.50 6.50,6.75 6.25 6.75 7.25,,7.00 6.00,6.50,
Performance / Execution  0.80 6.75 5.75 6.50,7.00 6.25 6.50 6.50,,7.25 6.75,6.61,
Choreography / Composition  0.80 6.25 5.75 6.25,7.25 6.50 7.25 6.75,,6.75 6.50,6.61,
Interpretation  0.80 6.50 6.00 6.75,7.00 6.50 7.00 7.00,,6.75 6.50,6.71,
Judges Total Program Component Score (factored),,,,26.49,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
6 Xiaoyu YU / Yang JIN CHN  2,54.42  31.91,,22.51,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3LzTw1  5.00  1.30 2 2 2,2 1 2 1,,2 2,6.30,
2 3T  4.10  0.70 1 1 1,1 1 1 2,,1 1,4.80,
3 3LoTh  5.00  1.10 2 1 1,2 1 1 2,,2 2,6.10,
4 SlSt3  3.30  0.00 0 1 0,0 0 0 0,,0 0,3.30,
5 3Li4  4.00  0.14 1 0 0,0 0 0 0,,1 1,4.14,
6 FiDs3  3.20  0.50 1 0 0,1 0 1 1,,1 1,3.70,
7 PCoSp2  3.50  0.07 0 0 0,1 0 0 0,,1 0,3.57,
28.10,,,,31.91,
Program Components Factor,,,,,
Skating Skills  0.80 5.25 6.25 5.75,6.50 5.25 5.75 5.50,,6.00 6.25,5.82,
Transition / Linking Footwork  0.80 5.00 6.00 5.25,5.50 5.00 5.25 5.25,,5.75 6.75,5.43,
Performance / Execution  0.80 5.25 6.00 6.00,6.00 5.25 5.25 5.75,,6.00 5.50,5.68,
Choreography / Composition  0.80 5.25 6.25 5.50,6.25 5.50 5.75 5.50,,5.75 6.50,5.79,
Interpretation  0.80 5.00 5.75 5.25,5.75 5.00 5.50 5.50,,5.75 5.25,5.43,
Judges Total Program Component Score (factored),,,,22.51,
Deductions:,,,,0.00,
ISU GP Cup of China 2011,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
7 Taylor STEELE / Robert SCHULTZ CAN  1,48.25  26.68,,21.57,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3LzTw2  5.40 -0.30 0 0 1,-2 -1 -2 1,,-1 0,5.10,
2 3S  4.20 -0.70 -1 -1 -1,-1 -1 -1 -1,,-2 -1,3.50,
3 3STh  4.50  0.00 0 0 0,0 0 0 -1,,0 0,4.50,
4 PCoSp4  4.50  0.07 0 1 0,0 0 1 0,,0 0,4.57,
"",,,Info,,Info
5 3Li2  3.00  0.21 1 0 1,1 0 0 1,,-1 0,3.21,
6 SlSt2  2.60  0.00 0 0 0,0 -1 1 0,,0 0,2.60,
7 FiDs3  3.20  0.00 0 0 0,0 0 1 0,,0 0,3.20,
27.40,,,,26.68,
Program Components Factor,,,,,
Skating Skills  0.80 5.50 5.75 5.75,5.50 5.25 6.00 5.50,,5.75 5.50,5.61,
Transition / Linking Footwork  0.80 5.25 5.50 5.25,5.00 4.75 5.50 5.25,,5.25 5.00,5.21,
Performance / Execution  0.80 5.25 5.50 5.75,5.25 5.00 5.75 5.50,,5.50 5.00,5.39,
Choreography / Composition  0.80 5.50 5.50 5.50,5.50 5.00 5.50 5.50,,5.25 5.50,5.46,
Interpretation  0.80 5.00 5.50 5.50,5.25 4.75 5.75 5.25,,5.50 5.00,5.29,
Judges Total Program Component Score (factored),,,,21.57,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
8 Klara KADLECOVA / Petr BIDAR CZE  3,38.34  20.28,,20.06,-2.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 2Lz  2.10 -0.09 0 -1 0,0 -1 -1 0,,0 0,2.01,
2 2LzTw1  3.00  0.00 0 0 0,0 0 0 0,,0 0,3.00,
3 3STh  4.50 -2.10 -3 -3 -3,-3 -3 -3 -3,,-3 -3,2.40,
4 3Li3  3.50 -0.14 0 0 0,0 -1 0 -1,,0 -1,3.36,
5 FiDs2  3.00  0.00 0 0 0,0 0 -1 0,,0 0,3.00,
6 PCoSp4  4.50  0.00 0 0 0,0 -1 0 0,,0 0,4.50,
7 SlSt1  1.80  0.21 0 1 1,0 0 1 0,,0 1,2.01,
22.40,,,,20.28,
Program Components Factor,,,,,
Skating Skills  0.80 5.50 5.25 5.25,5.00 4.75 4.75 4.75,,5.25 5.00,5.04,
Transition / Linking Footwork  0.80 5.00 5.50 4.75,5.00 5.00 4.75 5.00,,4.50 5.00,4.93,
Performance / Execution  0.80 5.50 5.25 5.00,5.00 5.25 4.00 5.00,,5.00 4.75,5.04,
Choreography / Composition  0.80 5.00 5.50 5.25,5.25 5.25 4.50 4.75,,4.75 5.00,5.04,
Interpretation  0.80 5.25 5.50 5.25,5.00 5.00 4.00 5.00,,4.50 5.25,5.04,
Judges Total Program Component Score (factored),,,,20.06,
Deductions: Falls: -2.00,,,,-2.00,
Printed: 04.11.2011 21:50:09,,,,,
