ISU GP Cup of China 2011,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
12 FCCoSp4  3.50  0.57 1 1 2,0 2 1 1,,0 2,4.07,
48.97,,,,51.69,
Program Components Factor,,,,,
Skating Skills  1.60 7.25 7.00 6.75,7.25 7.00 7.00 7.25,,6.50 6.75,7.00,
Transition / Linking Footwork  1.60 6.75 6.75 6.00,7.00 6.75 6.75 6.75,,6.00 6.50,6.61,
Performance / Execution  1.60 7.00 7.25 6.50,7.25 6.75 6.50 7.00,,6.25 6.25,6.75,
Choreography / Composition  1.60 7.00 7.25 7.00,7.25 7.25 6.75 6.75,,6.00 6.75,6.96,
Interpretation  1.60 6.75 7.00 6.50,7.25 7.25 5.75 6.75,,6.50 6.50,6.75,
Judges Total Program Component Score (factored),,,,54.52,
Deductions:,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
4 Christina GAO USA  3,100.49  53.89,,47.60,-1.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3F+3T  9.40  0.70 1 1 2,1 1 1 1,,1 1,10.10,
2 2A  3.30  0.14 0 1 0,0 1 0 0,,0 1,3.44,
3 3Lz e  6.00 -2.10 -3 -3 -3,-3 -3 -3 -3,,-3 -3,3.90,
4 CCoSp3  3.00  0.43 1 0 1,1 1 2 0,,1 1,3.43,
5 LSp2  1.90  0.29 0 1 1,1 0 1 0,,0 1,2.19,
6 3F  5.83 x -0.30 0 0 -2,-1 0 -1 0,,0 -1,5.53,
7 3Lo  5.61 x -0.70 -1 -1 -1,-1 -1 -1 -2,,-1 -1,4.91,
8 3S+2T  6.05 x  0.60 1 1 1,1 0 1 0,,1 1,6.65,
9 ChSp1  2.00  0.40 0 0 1,1 0 1 0,,1 1,2.40,
10 3T  4.51 x  0.50 0 1 1,1 1 0 1,,1 0,5.01,
11 SlSt3  3.30  0.29 1 1 1,0 0 1 0,,0 1,3.59,
12 FSSp3  2.60  0.14 -1 0 1,1 0 0 0,,1 0,2.74,
53.50,,,,53.89,
Program Components Factor,,,,,
Skating Skills  1.60 5.75 6.50 6.25,6.50 6.25 6.25 5.75,,6.25 6.00,6.18,
Transition / Linking Footwork  1.60 5.00 6.25 5.75,6.00 5.75 6.00 5.00,,6.00 5.75,5.75,
Performance / Execution  1.60 5.25 6.50 4.75,6.25 5.50 6.50 5.75,,6.75 5.50,5.89,
Choreography / Composition  1.60 4.75 6.75 5.75,6.50 5.50 6.50 6.00,,6.50 5.75,6.07,
Interpretation  1.60 5.25 6.50 5.25,6.25 5.75 6.25 6.00,,6.25 5.25,5.86,
Judges Total Program Component Score (factored),,,,47.60,
Deductions: Falls: -1.00,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,
ISU GP Cup of China 2011,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
5 Kexin ZHANG CHN  6,100.47  54.14,,46.33,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3T+3T  8.20  1.10 1 1 1,2 2 2 2,,2 1,9.30,
2 3Lz+2T  7.30 -0.40 -1 -1 0,0 0 -1 -1,,0 -1,6.90,
3 3Lz< <  4.20 -0.80 -1 -2 -1,-1 0 -1 -1,,-2 -1,3.40,
4 FCSp3  2.80  0.57 0 1 1,2 2 1 1,,1 1,3.37,
"",,,Info,,Info
5 ChSp1  2.00  0.40 1 0 0,1 1 0 1,,0 1,2.40,
6 3F e  5.83 x -1.00 -1 -2 -1,-1 -2 -2 -1,,0 -2,4.83,
7 3Lo< <  3.96 x -0.40 -1 -1 0,0 -1 0 -1,,0 -1,3.56,
8 LSp4  2.70  0.86 1 2 1,3 1 2 2,,2 2,3.56,
9 3S+2T  6.05 x  0.20 0 0 0,1 1 0 0,,0 1,6.25,
10 2A  3.63 x -0.36 -1 -1 0,-1 0 -1 -1,,-1 0,3.27,
11 SlSt3  3.30  0.00 0 0 0,2 0 0 0,,0 0,3.30,
12 CCoSp4  3.50  0.50 1 1 1,2 1 0 1,,1 1,4.00,
53.47,,,,54.14,
Program Components Factor,,,,,
Skating Skills  1.60 5.75 6.25 6.75,6.50 6.50 6.00 5.50,,6.50 6.25,6.25,
Transition / Linking Footwork  1.60 5.00 5.50 6.50,5.00 6.00 5.00 5.25,,6.00 5.75,5.50,
Performance / Execution  1.60 5.00 5.75 6.75,5.00 6.25 5.25 5.50,,6.25 6.25,5.75,
Choreography / Composition  1.60 5.50 6.00 6.25,5.25 6.00 5.00 5.75,,6.50 6.00,5.82,
Interpretation  1.60 5.25 5.75 6.50,4.75 6.00 4.75 5.50,,6.50 5.75,5.64,
Judges Total Program Component Score (factored),,,,46.33,
Deductions:,,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
6 Ksenia MAKAROVA RUS  2,97.57  46.01,,52.56,-1.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3F<< <<  1.80 -0.90 -3 -3 -3,-3 -3 -3 -3,,-3 -3,0.90,
2 3T+2T  5.40  0.60 1 1 1,0 1 1 1,,1 0,6.00,
